"",BBK01.OEYB20S,BBK01.OEYB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:36,
2002-01,1.807,
2002-04,1.823,
2002-07,1.840,
2002-10,1.847,
2003-01,1.846,
2003-04,1.847,
2003-07,1.856,
2003-10,1.852,
2004-01,1.842,
2004-04,1.836,
2004-07,1.830,
2004-10,1.362,
2005-01,1.339,
2005-04,1.318,
2005-07,1.295,
2005-10,1.262,
2006-01,1.229,
2006-04,1.211,
2006-07,1.196,
2006-10,1.173,
2007-01,1.158,
2007-04,1.148,
2007-07,1.141,
2007-10,1.134,
2008-01,1.121,
2008-04,1.110,
2008-07,1.112,
2008-10,1.107,
2009-01,1.092,
2009-04,1.075,
2009-07,1.060,
2009-10,1.042,
2010-01,1.027,
2010-04,1.024,
2010-07,1.001,
2010-10,0.991,
2011-01,0.976,
2011-04,0.984,
2011-07,0.996,
2011-10,0.999,
2012-01,1.007,
2012-04,1.014,
2012-07,1.028,
2012-10,1.031,
2013-01,1.023,
2013-04,1.032,
2013-07,1.040,
2013-10,1.046,
2014-01,1.049,
2014-04,1.058,
2014-07,1.070,
