"",BBK01.OEHM07L,BBK01.OEHM07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:04,
2002-01,0.224,
2002-04,0.213,
2002-07,0.201,
2002-10,0.211,
2003-01,0.185,
2003-04,0.190,
2003-07,0.186,
2003-10,0.193,
2004-01,0.198,
2004-04,0.167,
2004-07,0.166,
2004-10,0.171,
2005-01,0.169,
2005-04,0.163,
2005-07,0.165,
2005-10,0.167,
2006-01,0.163,
2006-04,0.157,
2006-07,0.155,
2006-10,0.141,
2007-01,0.125,
2007-04,0.122,
2007-07,0.123,
2007-10,0.119,
2008-01,0.098,
2008-04,0.100,
2008-07,0.100,
2008-10,0.097,
2009-01,0.104,
2009-04,0.113,
2009-07,0.109,
2009-10,0.113,
2010-01,0.070,
2010-04,0.085,
2010-07,0.085,
2010-10,0.082,
2011-01,0.085,
2011-04,0.077,
2011-07,0.082,
2011-10,0.084,
2012-01,0.080,
2012-04,0.078,
2012-07,0.072,
2012-10,0.077,
2013-01,0.076,
2013-04,0.066,
2013-07,0.071,
2013-10,0.070,
2014-01,0.060,
2014-04,0.050,
2014-07,0.050,
