"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:23,
1991-01,417.688,
1991-04,556.161,
1991-07,561.487,
1991-10,403.811,
1992-01,-215.252,
1992-04,-65.685,
1992-07,-216.197,
1992-10,-257.498,
1993-01,-255.923,
1993-04,-190.345,
1993-07,-150.135,
1993-10,-308.086,
1994-01,49.906,
1994-04,117.266,
1994-07,258.279,
1994-10,99.024,
1995-01,53.596,
1995-04,25.532,
1995-07,1.516,
1995-10,2.666,
1996-01,279.725,
1996-04,345.178,
1996-07,499.227,
1996-10,383.847,
1997-01,578.710,
1997-04,674.169,
1997-07,655.321,
1997-10,657.830,
1998-01,388.518,
1998-04,371.048,
1998-07,375.443,
1998-10,-1049.587,
1999-01,953.724,
1999-04,847.013,
1999-07,907.680,
1999-10,1008.197,
2000-01,-1063.860,
2000-04,-1520.668,
2000-07,-1152.094,
2000-10,-1208.662,
2001-01,-3102.942,
2001-04,-1757.431,
2001-07,-360.666,
2001-10,-2828.841,
2002-01,-1125.738,
2002-04,-3060.178,
2002-07,-664.924,
2002-10,-3431.041,
2003-01,-385.339,
2003-04,-816.462,
2003-07,243.632,
2003-10,-549.064,
2004-01,3510.024,
2004-04,556.366,
2004-07,3008.820,
2004-10,2083.605,
2005-01,3926.846,
2005-04,1263.631,
2005-07,3826.115,
2005-10,2841.538,
2006-01,5308.037,
2006-04,2849.821,
2006-07,6024.425,
2006-10,3936.042,
2007-01,9266.982,
2007-04,5476.879,
2007-07,5670.616,
2007-10,1528.063,
2008-01,217.366,
2008-04,-7068.417,
2008-07,-2384.604,
2008-10,-3780.221,
2009-01,2224.978,
2009-04,-274.436,
2009-07,5077.873,
2009-10,2215.874,
2010-01,2132.506,
2010-04,1953.707,
2010-07,4991.664,
2010-10,1899.531,
2011-01,5805.317,
2011-04,4784.655,
2011-07,7465.075,
2011-10,2391.525,
2012-01,6663.907,
2012-04,4267.910,
2012-07,7334.429,
2012-10,1836.384,
2013-01,6528.584,
2013-04,3981.482,
2013-07,7841.792,
2013-10,2398.620,
2014-01,7567.543,Provisional value
2014-04,7358.338,Provisional value
2014-07,8018.336,Provisional value
2014-10,42.560,Provisional value
