"",BBDE1.M.DE.Y.AEN5.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEN5.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:02,
2010-01,86.6,
2010-02,89.1,
2010-03,91.6,
2010-04,97.0,
2010-05,98.8,
2010-06,97.5,
2010-07,101.1,
2010-08,104.6,
2010-09,104.3,
2010-10,104.2,
2010-11,111.5,
2010-12,109.8,
2011-01,115.1,
2011-02,111.3,
2011-03,110.3,
2011-04,108.6,
2011-05,109.0,
2011-06,106.8,
2011-07,109.8,
2011-08,111.1,
2011-09,110.7,
2011-10,111.3,
2011-11,108.7,
2011-12,109.4,
2012-01,108.8,
2012-02,111.5,
2012-03,112.0,
2012-04,111.6,
2012-05,113.6,
2012-06,109.1,
2012-07,113.6,
2012-08,111.1,
2012-09,112.0,
2012-10,114.0,
2012-11,112.3,
2012-12,114.2,
2013-01,112.3,
2013-02,114.1,
2013-03,113.3,
2013-04,114.9,
2013-05,114.9,
2013-06,116.3,
2013-07,113.3,
2013-08,115.6,
2013-09,117.1,
2013-10,116.6,
2013-11,117.0,
2013-12,118.5,
2014-01,122.1,
2014-02,119.3,
2014-03,119.0,
2014-04,118.1,
2014-05,114.4,
2014-06,117.3,
2014-07,121.1,
2014-08,113.8,
2014-09,122.1,
2014-10,127.8,
2014-11,127.3,
2014-12,128.5,Provisional value
