"",BBK01.OECI09H,BBK01.OECI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:13,
2002-01,0.402,
2002-04,0.395,
2002-07,0.391,
2002-10,0.375,
2003-01,0.358,
2003-04,0.346,
2003-07,0.337,
2003-10,0.330,
2004-01,0.327,
2004-04,0.376,
2004-07,0.368,
2004-10,0.364,
2005-01,0.418,
2005-04,0.404,
2005-07,0.389,
2005-10,0.377,
2006-01,0.367,
2006-04,0.367,
2006-07,0.366,
2006-10,0.359,
2007-01,0.375,
2007-04,0.388,
2007-07,0.400,
2007-10,0.434,
2008-01,0.463,
2008-04,0.476,
2008-07,0.517,
2008-10,0.759,
2009-01,0.761,
2009-04,0.744,
2009-07,0.739,
2009-10,0.591,
2010-01,0.474,
2010-04,0.461,
2010-07,0.439,
2010-10,0.481,
2011-01,0.524,
2011-04,0.537,
2011-07,0.546,
2011-10,0.561,
2012-01,0.549,
2012-04,0.543,
2012-07,0.523,
2012-10,0.442,
2013-01,0.367,
2013-04,0.317,
2013-07,0.303,
2013-10,0.303,
2014-01,0.293,
2014-04,0.281,
2014-07,0.322,
