"",BBK01.OEAN07I,BBK01.OEAN07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:52,
2002-01,0.418,
2002-04,0.390,
2002-07,0.388,
2002-10,0.399,
2003-01,0.364,
2003-04,0.356,
2003-07,0.244,
2003-10,0.241,
2004-01,0.172,
2004-04,0.171,
2004-07,0.169,
2004-10,0.173,
2005-01,0.183,
2005-04,0.176,
2005-07,0.176,
2005-10,0.149,
2006-01,0.133,
2006-04,0.136,
2006-07,0.133,
2006-10,0.132,
2007-01,0.121,
2007-04,0.116,
2007-07,0.094,
2007-10,0.094,
2008-01,0.079,
2008-04,0.076,
2008-07,0.074,
2008-10,0.072,
2009-01,0.060,
2009-04,0.330,
2009-07,0.428,
2009-10,0.499,
2010-01,1.101,
2010-04,1.232,
2010-07,1.255,
2010-10,1.509,
2011-01,1.742,
2011-04,1.731,
2011-07,1.753,
2011-10,1.944,
2012-01,2.178,
2012-04,2.289,
2012-07,2.281,
2012-10,2.460,
2013-01,2.567,
2013-04,2.611,
2013-07,2.658,
2013-10,2.708,
2014-01,2.775,
2014-04,2.811,
2014-07,2.800,
