"",BBK01.OEYL08M,BBK01.OEYL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:41,
2002-01,1.931,
2002-04,1.859,
2002-07,1.812,
2002-10,1.845,
2003-01,1.842,
2003-04,1.821,
2003-07,1.820,
2003-10,1.819,
2004-01,1.798,
2004-04,1.743,
2004-07,1.700,
2004-10,1.680,
2005-01,1.653,
2005-04,1.622,
2005-07,1.595,
2005-10,1.597,
2006-01,1.558,
2006-04,1.508,
2006-07,1.436,
2006-10,1.408,
2007-01,1.386,
2007-04,1.381,
2007-07,1.345,
2007-10,1.327,
2008-01,1.285,
2008-04,1.272,
2008-07,1.236,
2008-10,1.510,
2009-01,1.484,
2009-04,0.752,
2009-07,0.776,
2009-10,0.861,
2010-01,0.845,
2010-04,0.802,
2010-07,0.799,
2010-10,0.809,
2011-01,0.786,
2011-04,0.761,
2011-07,0.747,
2011-10,0.723,
2012-01,0.719,
2012-04,0.700,
2012-07,0.693,
2012-10,0.737,
2013-01,1.303,
2013-04,1.335,
2013-07,1.341,
2013-10,1.357,
2014-01,1.323,
2014-04,1.472,
2014-07,1.453,
