"",BBK01.OEHB11V,BBK01.OEHB11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:43,
2002-01,0.233,
2002-04,0.239,
2002-07,0.237,
2002-10,0.244,
2003-01,0.282,
2003-04,0.274,
2003-07,0.266,
2003-10,0.265,
2004-01,0.282,
2004-04,0.277,
2004-07,0.285,
2004-10,0.291,
2005-01,0.283,
2005-04,0.292,
2005-07,0.281,
2005-10,0.263,
2006-01,0.250,
2006-04,0.247,
2006-07,0.241,
2006-10,0.247,
2007-01,0.233,
2007-04,0.214,
2007-07,0.200,
2007-10,0.194,
2008-01,0.181,
2008-04,0.205,
2008-07,0.228,
2008-10,0.241,
2009-01,0.243,
2009-04,0.327,
2009-07,0.365,
2009-10,0.364,
2010-01,0.373,
2010-04,0.390,
2010-07,0.395,
2010-10,0.403,
2011-01,0.404,
2011-04,0.520,
2011-07,0.713,
2011-10,0.760,
2012-01,0.778,
2012-04,0.765,
2012-07,0.834,
2012-10,0.777,
2013-01,0.785,
2013-04,0.759,
2013-07,0.739,
2013-10,0.789,
2014-01,0.832,
2014-04,0.837,
2014-07,0.818,
