"",BBK01.OEHL07O,BBK01.OEHL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:10,
2002-01,15.805,
2002-04,15.647,
2002-07,15.566,
2002-10,15.916,
2003-01,15.914,
2003-04,15.852,
2003-07,15.741,
2003-10,15.969,
2004-01,15.890,
2004-04,15.687,
2004-07,15.561,
2004-10,15.883,
2005-01,15.849,
2005-04,15.693,
2005-07,15.560,
2005-10,15.783,
2006-01,15.662,
2006-04,15.459,
2006-07,15.123,
2006-10,14.979,
2007-01,14.292,
2007-04,13.737,
2007-07,13.198,
2007-10,12.844,
2008-01,12.306,
2008-04,11.820,
2008-07,11.346,
2008-10,11.255,
2009-01,11.758,
2009-04,12.519,
2009-07,13.135,
2009-10,13.792,
2010-01,14.203,
2010-04,14.337,
2010-07,14.457,
2010-10,14.605,
2011-01,14.615,
2011-04,14.498,
2011-07,14.330,
2011-10,14.291,
2012-01,14.111,
2012-04,13.891,
2012-07,13.784,
2012-10,13.861,
2013-01,13.806,
2013-04,13.739,
2013-07,13.667,
2013-10,13.818,
2014-01,13.665,
2014-04,13.542,
2014-07,13.417,
