"",BBK01.OEXI01V,BBK01.OEXI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:33,
2002-01,8.407,
2002-04,6.606,
2002-07,6.433,
2002-10,8.730,
2003-01,5.410,
2003-04,5.279,
2003-07,6.261,
2003-10,5.320,
2004-01,4.989,
2004-04,4.218,
2004-07,4.111,
2004-10,4.319,
2005-01,4.193,
2005-04,4.316,
2005-07,4.134,
2005-10,4.283,
2006-01,4.326,
2006-04,4.712,
2006-07,4.882,
2006-10,4.878,
2007-01,5.274,
2007-04,5.523,
2007-07,5.654,
2007-10,6.012,
2008-01,6.371,
2008-04,6.541,
2008-07,6.488,
2008-10,6.775,
2009-01,7.201,
2009-04,7.873,
2009-07,7.931,
2009-10,7.599,
2010-01,7.349,
2010-04,7.577,
2010-07,7.642,
2010-10,7.699,
2011-01,8.050,
2011-04,7.965,
2011-07,8.470,
2011-10,8.335,
2012-01,8.210,
2012-04,8.583,
2012-07,8.615,
2012-10,8.594,
2013-01,8.167,
2013-04,8.310,
2013-07,8.343,
2013-10,8.572,
2014-01,8.420,
2014-04,8.829,
2014-07,9.269,
