"",BBK01.OECB16G,BBK01.OECB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:48,
2002-01,2.197,
2002-04,2.164,
2002-07,2.113,
2002-10,2.067,
2003-01,1.981,
2003-04,1.949,
2003-07,1.960,
2003-10,1.847,
2004-01,1.822,
2004-04,1.813,
2004-07,1.769,
2004-10,1.746,
2005-01,1.804,
2005-04,1.790,
2005-07,1.774,
2005-10,1.894,
2006-01,1.895,
2006-04,1.897,
2006-07,1.911,
2006-10,1.890,
2007-01,1.881,
2007-04,1.893,
2007-07,1.892,
2007-10,1.886,
2008-01,1.888,
2008-04,1.882,
2008-07,1.841,
2008-10,1.752,
2009-01,1.732,
2009-04,2.528,
2009-07,2.474,
2009-10,2.403,
2010-01,2.364,
2010-04,2.332,
2010-07,2.324,
2010-10,2.211,
2011-01,2.344,
2011-04,2.301,
2011-07,2.316,
2011-10,2.178,
2012-01,2.024,
2012-04,2.010,
2012-07,1.974,
2012-10,1.923,
2013-01,1.897,
2013-04,2.007,
2013-07,1.875,
2013-10,1.789,
2014-01,1.778,
2014-04,1.747,
2014-07,1.781,
