"",BBEX3.M.PLN.USD.CA.AC.A01,BBEX3.M.PLN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Poland / USD 1 = PLN ... (middle),
unit,PLN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:16,
1995-01,2.4325,
1995-02,2.4194,
1995-03,2.4020,
1995-04,2.3971,
1995-05,2.3220,
1995-06,2.3420,
1995-07,2.3685,
1995-08,2.4720,
1995-09,2.4330,
1995-10,2.4525,
1995-11,2.5100,
1995-12,2.4680,
1996-01,2.5520,
1996-02,2.5615,
1996-03,2.5875,
1996-04,2.6580,
1996-05,2.6910,
1996-06,2.7200,
1996-07,2.7005,
1996-08,2.7420,
1996-09,2.8110,
1996-10,2.8105,
1996-11,2.8485,
1996-12,2.8755,
1997-01,2.9995,
1997-02,3.0580,
1997-03,3.0760,
1997-04,3.1595,
1997-05,3.1980,
1997-06,3.2860,
1997-07,3.4630,
1997-08,3.4720,
1997-09,3.4205,
1997-10,3.4890,
1997-11,3.5390,
1997-12,3.5180,
1998-01,3.5420,
1998-02,3.4790,
1998-03,3.4485,
1998-04,3.3980,
1998-05,3.4880,
1998-06,3.4825,
1998-07,3.4345,
1998-08,3.7400,
1998-09,3.5790,
1998-10,3.4460,
1998-11,3.4875,
1998-12,3.5040,
1999-01,3.6590,
1999-02,3.9400,
1999-03,4.0100,
1999-04,3.9540,
1999-05,3.9705,
1999-06,3.9297,
1999-07,3.8600,
1999-08,3.9810,
1999-09,4.1141,
1999-10,4.2029,
1999-11,4.2903,
1999-12,4.1483,
2000-01,4.2076,
2000-02,4.1531,
2000-03,4.1428,
2000-04,4.4234,
2000-05,4.3914,
2000-06,4.3907,
2000-07,4.3388,
2000-08,4.3812,
2000-09,4.5404,
2000-10,4.6845,
2000-11,4.4735,
2000-12,4.1432,
2001-01,4.0879,
2001-02,4.0749,
2001-03,4.1000,
2001-04,3.9761,
2001-05,4.0083,
2001-06,3.9871,
2001-07,4.2384,
2001-08,4.2336,
2001-09,4.2367,
2001-10,4.0987,
2001-11,4.0874,
2001-12,3.9863,
2002-01,4.1637,
2002-02,4.2046,
2002-03,4.1321,
2002-04,3.9802,
2002-05,4.0311,
2002-06,4.0418,
2002-07,4.1685,
2002-08,4.1420,
2002-09,4.1482,
2002-10,4.0324,
2002-11,4.0078,
2002-12,3.8388,
2003-01,3.8173,
2003-02,3.9135,
2003-03,4.0512,
2003-04,3.8406,
2003-05,3.7109,
2003-06,3.8966,
2003-07,3.8721,
2003-08,3.9944,
2003-09,3.9799,
2003-10,4.0234,
2003-11,3.9350,
2003-12,3.7405,
2004-01,3.8478,
2004-02,3.9313,
2004-03,3.8813,
2004-04,4.0254,
2004-05,3.8044,
2004-06,3.7470,
2004-07,3.6299,
2004-08,3.6816,
2004-09,3.5569,
2004-10,3.3960,
2004-11,3.1793,
2004-12,2.9904,
2005-01,3.1200,
2005-02,2.9501,
2005-03,3.1518,
2005-04,3.2988,
2005-05,3.3265,
2005-06,3.3461,
2005-07,3.3689,
2005-08,3.3140,
2005-09,3.2575,
2005-10,3.3067,
