"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Euro area (changing composition) / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:49,
2009-09,121414,
2009-10,119460,
2009-11,121866,
2009-12,121048,
2010-01,121750,
2010-02,121661,
2010-03,121522,
2010-04,119537,
2010-05,119447,
2010-06,119680,
2010-07,119927,
2010-08,121831,
2010-09,121082,
2010-10,121737,
2010-11,119714,
2010-12,118625,
2011-01,118240,
2011-02,120102,
2011-03,121515,
2011-04,121128,
2011-05,121625,
2011-06,121253,
2011-07,122135,
2011-08,123080,
2011-09,121740,
2011-10,121432,
2011-11,119650,
2011-12,122019,
2012-01,124384,
2012-02,126263,
2012-03,127364,
2012-04,127215,
2012-05,127212,
2012-06,126671,
2012-07,128759,
2012-08,129753,
2012-09,129925,
2012-10,129413,
2012-11,128562,
2012-12,128881,
2013-01,128005,
2013-02,128322,
2013-03,128064,
2013-04,129409,
2013-05,128964,
2013-06,126512,
2013-07,125758,
2013-08,125248,
2013-09,124793,
2013-10,125133,
2013-11,124685,
2013-12,123375,
2014-01,124950,
2014-02,124574,
2014-03,125247,
2014-04,124848,
2014-05,125873,
2014-06,125843,
2014-07,126836,
2014-08,127747,
2014-09,128103,
2014-10,129337,
2014-11,127554,
