"",BBSF2.M.1.P.00000.DAC01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:24,
2009-09,814,
2009-10,741,
2009-11,624,
2009-12,770,
2010-01,881,
2010-02,851,
2010-03,745,
2010-04,877,
2010-05,983,
2010-06,1163,
2010-07,1073,
2010-08,1238,
2010-09,884,
2010-10,799,
2010-11,914,
2010-12,766,
2011-01,925,
2011-02,1083,
2011-03,1181,
2011-04,1105,
2011-05,1255,
2011-06,991,
2011-07,1088,
2011-08,1475,
2011-09,1815,
2011-10,1282,
2011-11,1452,
2011-12,1238,
2012-01,981,
2012-02,1005,
2012-03,1064,
2012-04,1140,
2012-05,1251,
2012-06,1105,
2012-07,808,
2012-08,698,
2012-09,713,
2012-10,665,
2012-11,756,
2012-12,651,
2013-01,805,
2013-02,595,
2013-03,580,
2013-04,581,
2013-05,768,
2013-06,1374,
2013-07,845,
2013-08,946,
2013-09,605,
2013-10,613,
2013-11,652,
2013-12,611,
2014-01,754,
2014-02,630,
2014-03,759,
2014-04,676,
2014-05,708,
2014-06,844,
2014-07,822,
2014-08,917,
2014-09,859,
2014-10,830,
2014-11,659,
