"",BBDA1.M.DE.N.EX.S.A.RU.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.RU.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Russian Federation / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:33,
1992-05,427761,
1992-06,418424,
1992-07,469819,
1992-08,344697,
1992-09,345709,
1992-10,358922,
1992-11,324853,
1992-12,558602,
1993-01,327579,
1993-02,371180,
1993-03,423824,
1993-04,408206,
1993-05,493949,
1993-06,494180,
1993-07,446896,
1993-08,472705,
1993-09,494482,
1993-10,570791,
1993-11,557426,
1993-12,763899,
1994-01,413247,
1994-02,438673,
1994-03,488805,
1994-04,414898,
1994-05,478278,
1994-06,532716,
1994-07,400209,
1994-08,440925,
1994-09,414078,
1994-10,402123,
1994-11,513910,
1994-12,560561,
1995-01,365240,
1995-02,368651,
1995-03,442092,
1995-04,359620,
1995-05,429209,
1995-06,462277,
1995-07,403902,
1995-08,481703,
1995-09,448402,
1995-10,451767,
1995-11,539163,
1995-12,512664,
1996-01,400530,
1996-02,388971,
1996-03,434926,
1996-04,453667,
1996-05,478530,
1996-06,466466,
1996-07,539803,
1996-08,482426,
1996-09,497614,
1996-10,570253,
1996-11,599700,
1996-12,543780,
1997-01,447646,
1997-02,539621,
1997-03,583057,
1997-04,611151,
1997-05,548519,
1997-06,680785,
1997-07,768670,
1997-08,752332,
1997-09,932353,
1997-10,816389,
1997-11,798836,
1997-12,922949,
1998-01,665960,
1998-02,716347,
1998-03,861483,
1998-04,737667,
1998-05,737670,
1998-06,708773,
1998-07,763475,
1998-08,619403,
1998-09,416442,
1998-10,302433,
1998-11,396100,
1998-12,494188,
1999-01,281008,
1999-02,280621,
1999-03,368364,
1999-04,396712,
1999-05,346601,
1999-06,386745,
1999-07,519797,
1999-08,385459,
1999-09,470380,
1999-10,512470,
1999-11,525956,
1999-12,583155,
2000-01,340725,
2000-02,419761,
2000-03,499275,
2000-04,443224,
2000-05,531279,
2000-06,544072,
2000-07,557816,
2000-08,585812,
2000-09,588876,
2000-10,744200,
2000-11,684142,
2000-12,720226,
2001-01,517651,
2001-02,595049,
2001-03,783618,
2001-04,724539,
2001-05,833746,
2001-06,841635,
2001-07,936586,
2001-08,968811,
2001-09,880930,
2001-10,1116914,
2001-11,1039312,
2001-12,1028796,
2002-01,788198,
2002-02,876052,
2002-03,888761,
2002-04,943915,
2002-05,873223,
2002-06,985177,
2002-07,954135,
2002-08,930059,
2002-09,1034350,
2002-10,1079637,
2002-11,1037478,
2002-12,982680,
2003-01,826421,
2003-02,879308,
2003-03,843320,
2003-04,1015191,
2003-05,965903,
2003-06,1066608,
2003-07,1132689,
2003-08,1045764,
2003-09,1118854,
2003-10,1073670,
2003-11,1099298,
2003-12,1052884,
2004-01,1038674,
2004-02,941858,
2004-03,1320698,
2004-04,1151369,
2004-05,1151446,
2004-06,1326419,
2004-07,1336134,
2004-08,1200439,
2004-09,1323800,
2004-10,1285154,
2004-11,1365556,
2004-12,1546495,
2005-01,1211085,
2005-02,1137983,
2005-03,1248864,
2005-04,1295020,
2005-05,1398130,
2005-06,1393206,
2005-07,1468157,
2005-08,1675595,
2005-09,1652121,
2005-10,1538911,
2005-11,1615447,
2005-12,1643005,
2006-01,1414262,
2006-02,1495364,
2006-03,1617041,
2006-04,1631220,
2006-05,1697809,
2006-06,1738475,
2006-07,1850562,
2006-08,1938634,
2006-09,2412886,
2006-10,2626964,
2006-11,2687890,
2006-12,2251614,
2007-01,1858961,
2007-02,1909566,
2007-03,2223273,
2007-04,2240879,
2007-05,2243612,
2007-06,2298361,
2007-07,2451796,
2007-08,2634714,
2007-09,2415437,
2007-10,2828357,
2007-11,2778499,
2007-12,2278230,
2008-01,2361340,
2008-02,2578433,
2008-03,2573918,
2008-04,2917857,
2008-05,2485828,
2008-06,2848591,
2008-07,2855302,
2008-08,2854514,
2008-09,2908339,
2008-10,3040881,
2008-11,2556502,
2008-12,2330851,
2009-01,1586579,
2009-02,1738948,
2009-03,1852567,
2009-04,1504843,
2009-05,1418324,
2009-06,1613813,
2009-07,1878383,
2009-08,1617498,
2009-09,1725256,
2009-10,1844987,
2009-11,2079865,
2009-12,1759835,
2010-01,1303945,
2010-02,1626309,
2010-03,2214993,
2010-04,2004153,
2010-05,2000305,
2010-06,2295757,
2010-07,2369453,
2010-08,2436764,
2010-09,2570692,
2010-10,2654488,
2010-11,2681139,
2010-12,2196296,
2011-01,1924190,
2011-02,2419304,
2011-03,3029400,
2011-04,2714884,
2011-05,2997534,
2011-06,2796827,
2011-07,2837958,
2011-08,3280603,
2011-09,3327273,
2011-10,3031628,
2011-11,3270124,
2011-12,2829028,
2012-01,2434843,
2012-02,2887935,
2012-03,3320209,
2012-04,3055098,
2012-05,3196194,
2012-06,3275690,
2012-07,3519938,
2012-08,3466894,
2012-09,3195202,
2012-10,3461027,
2012-11,3695238,
2012-12,2595032,
2013-01,2597279,
2013-02,2954573,
2013-03,3108074,
2013-04,3185921,
2013-05,3111636,
2013-06,2945952,
2013-07,3237604,
2013-08,3034759,
2013-09,3036386,
2013-10,3184018,
2013-11,3040314,
2013-12,2365084,
2014-01,2217470,
2014-02,2422059,
2014-03,2909177,
2014-04,2654510,
2014-05,2595881,
2014-06,2319285,
2014-07,2794381,
2014-08,2241743,
2014-09,2528172,
2014-10,2488354,
2014-11,2356881,
2014-12,1790492,
