"",BBK01.OEHL01O,BBK01.OEHL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:29,
2002-01,26.298,
2002-04,26.273,
2002-07,26.290,
2002-10,26.897,
2003-01,26.999,
2003-04,26.947,
2003-07,26.857,
2003-10,27.327,
2004-01,27.484,
2004-04,27.362,
2004-07,27.221,
2004-10,27.616,
2005-01,27.694,
2005-04,27.625,
2005-07,27.586,
2005-10,27.922,
2006-01,28.087,
2006-04,28.082,
2006-07,27.885,
2006-10,28.149,
2007-01,28.127,
2007-04,28.220,
2007-07,28.183,
2007-10,28.605,
2008-01,28.451,
2008-04,28.435,
2008-07,28.228,
2008-10,28.877,
2009-01,29.108,
2009-04,29.170,
2009-07,29.121,
2009-10,29.568,
2010-01,29.941,
2010-04,30.106,
2010-07,30.081,
2010-10,30.486,
2011-01,30.538,
2011-04,30.661,
2011-07,30.588,
2011-10,30.859,
2012-01,30.872,
2012-04,30.870,
2012-07,30.923,
2012-10,31.143,
2013-01,31.174,
2013-04,31.412,
2013-07,31.164,
2013-10,31.605,
2014-01,31.545,
2014-04,31.704,
2014-07,31.653,
