"",BBK01.OEAJ02H,BBK01.OEAJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:05,
2002-01,21.523,
2002-04,26.529,
2002-07,25.437,
2002-10,28.727,
2003-01,26.268,
2003-04,29.921,
2003-07,28.528,
2003-10,29.062,
2004-01,29.165,
2004-04,28.476,
2004-07,28.435,
2004-10,28.519,
2005-01,31.049,
2005-04,33.381,
2005-07,35.863,
2005-10,37.036,
2006-01,38.314,
2006-04,39.642,
2006-07,40.228,
2006-10,40.823,
2007-01,41.898,
2007-04,46.209,
2007-07,45.479,
2007-10,46.362,
2008-01,50.793,
2008-04,51.472,
2008-07,54.916,
2008-10,52.726,
2009-01,64.223,
2009-04,48.778,
2009-07,50.440,
2009-10,58.472,
2010-01,53.745,
2010-04,56.176,
2010-07,56.710,
2010-10,60.119,
2011-01,61.704,
2011-04,58.634,
2011-07,65.666,
2011-10,63.423,
2012-01,63.942,
2012-04,69.069,
2012-07,75.570,
2012-10,77.062,
2013-01,75.897,
2013-04,79.262,
2013-07,78.655,
2013-10,75.755,
2014-01,74.630,
2014-04,76.369,
2014-07,78.980,
