"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F81.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F81.T._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Trade credits and advances / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:15,
1991-01,-776.652,
1991-02,325.693,
1991-03,1208.694,
1991-04,615.595,
1991-05,-107.371,
1991-06,1605.457,
1991-07,-973.500,
1991-08,-1826.335,
1991-09,1796.680,
1991-10,1118.707,
1991-11,-624.287,
1991-12,-103.281,
1992-01,-1693.399,
1992-02,334.896,
1992-03,1843.207,
1992-04,-557.308,
1992-05,16.361,
1992-06,496.976,
1992-07,-1225.055,
1992-08,-2025.227,
1992-09,1571.200,
1992-10,721.433,
1992-11,-164.125,
1992-12,137.538,
1993-01,-1852.922,
1993-02,320.069,
1993-03,1007.245,
1993-04,-829.315,
1993-05,-455.050,
1993-06,661.612,
1993-07,-648.829,
1993-08,-1308.396,
1993-09,1336.517,
1993-10,-158.500,
1993-11,82.318,
1993-12,870.219,
1994-01,-1558.929,
1994-02,746.997,
1994-03,1785.431,
1994-04,348.190,
1994-05,387.559,
1994-06,251.044,
1994-07,-314.956,
1994-08,-1047.637,
1994-09,1592.674,
1994-10,1479.167,
1994-11,1907.630,
1994-12,419.771,
1995-01,-1163.808,
1995-02,-54.351,
1995-03,1903.728,
1995-04,-600.766,
1995-05,747.177,
1995-06,1292.995,
1995-07,-1113.493,
1995-08,-563.912,
1995-09,1374.738,
1995-10,100.324,
1995-11,796.480,
1995-12,482.796,
1996-01,-245.744,
1996-02,261.154,
1996-03,933.073,
1996-04,35.272,
1996-05,710.217,
1996-06,-115.751,
1996-07,-133.267,
1996-08,-690.927,
1996-09,167.165,
1996-10,734.392,
1996-11,260.106,
1996-12,-374.256,
1997-01,346.781,
1997-02,398.380,
1997-03,913.039,
1997-04,541.855,
1997-05,503.349,
1997-06,372.669,
1997-07,41.630,
1997-08,-464.164,
1997-09,903.643,
1997-10,314.420,
1997-11,62.879,
1997-12,143.848,
1998-01,-4.972,
