"",BBK01.OEAJ07V,BBK01.OEAJ07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:42,
2002-01,0.047,
2002-04,0.049,
2002-07,0.047,
2002-10,0.051,
2003-01,0.060,
2003-04,0.059,
2003-07,0.067,
2003-10,0.074,
2004-01,0.090,
2004-04,0.084,
2004-07,0.084,
2004-10,0.087,
2005-01,0.122,
2005-04,0.129,
2005-07,0.124,
2005-10,0.107,
2006-01,0.087,
2006-04,0.090,
2006-07,0.092,
2006-10,0.079,
2007-01,0.078,
2007-04,0.078,
2007-07,0.079,
2007-10,0.075,
2008-01,0.083,
2008-04,0.084,
2008-07,0.083,
2008-10,0.088,
2009-01,0.120,
2009-04,0.129,
2009-07,0.163,
2009-10,0.192,
2010-01,0.217,
2010-04,0.227,
2010-07,0.236,
2010-10,0.180,
2011-01,0.177,
2011-04,0.177,
2011-07,0.152,
2011-10,0.124,
2012-01,0.136,
2012-04,0.145,
2012-07,0.166,
2012-10,0.189,
2013-01,0.170,
2013-04,0.176,
2013-07,0.172,
2013-10,0.172,
2014-01,0.264,
2014-04,0.197,
2014-07,0.234,
