"",BBSF2.M.1.S.00000.TOT01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Not defined / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:44,
2009-09,17114,
2009-10,18506,
2009-11,12956,
2009-12,23590,
2010-01,16621,
2010-02,9346,
2010-03,13353,
2010-04,12048,
2010-05,8349,
2010-06,10366,
2010-07,13170,
2010-08,11710,
2010-09,12630,
2010-10,16080,
2010-11,10170,
2010-12,19574,
2011-01,10687,
2011-02,10255,
2011-03,7848,
2011-04,9608,
2011-05,6242,
2011-06,7161,
2011-07,6749,
2011-08,6273,
2011-09,9037,
2011-10,10477,
2011-11,16614,
2011-12,21159,
2012-01,16670,
2012-02,20822,
2012-03,12466,
2012-04,8930,
2012-05,7877,
2012-06,15526,
2012-07,19736,
2012-08,12090,
2012-09,13559,
2012-10,13329,
2012-11,20984,
2012-12,29881,
2013-01,17079,
2013-02,18049,
2013-03,17014,
2013-04,11551,
2013-05,12499,
2013-06,12461,
2013-07,14738,
2013-08,7496,
2013-09,10438,
2013-10,13040,
2013-11,22081,
2013-12,27294,
2014-01,12293,
2014-02,14744,
2014-03,18449,
2014-04,13829,
2014-05,11578,
2014-06,13123,
2014-07,17891,
2014-08,10793,
2014-09,11140,
2014-10,26936,
2014-11,23263,
