"",BBK01.OEYB24M,BBK01.OEYB24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:26,
2002-01,22.633,
2002-04,17.732,
2002-07,17.716,
2002-10,17.871,
2003-01,18.169,
2003-04,26.677,
2003-07,26.952,
2003-10,27.626,
2004-01,27.170,
2004-04,26.184,
2004-07,25.880,
2004-10,25.925,
2005-01,26.532,
2005-04,27.054,
2005-07,27.720,
2005-10,25.556,
2006-01,27.105,
2006-04,26.838,
2006-07,19.897,
2006-10,19.753,
2007-01,20.477,
2007-04,20.399,
2007-07,20.419,
2007-10,20.199,
2008-01,19.325,
2008-04,19.473,
2008-07,18.988,
2008-10,18.540,
2009-01,18.595,
2009-04,18.909,
2009-07,19.573,
2009-10,19.574,
2010-01,19.025,
2010-04,18.817,
2010-07,19.431,
2010-10,19.684,
2011-01,19.261,
2011-04,19.757,
2011-07,20.547,
2011-10,20.249,
2012-01,19.082,
2012-04,19.495,
2012-07,19.308,
2012-10,19.174,
2013-01,19.513,
2013-04,19.975,
2013-07,19.346,
2013-10,18.880,
2014-01,18.673,
2014-04,18.549,
2014-07,18.118,
