"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:11,
1991-01,-35.824,
1991-04,-24.087,
1991-07,-27.910,
1991-10,-30.290,
1992-01,-11.109,
1992-04,-34.750,
1992-07,-11.048,
1992-10,-24.516,
1993-01,95.568,
1993-04,95.497,
1993-07,95.812,
1993-10,95.193,
1994-01,186.632,
1994-04,187.113,
1994-07,172.870,
1994-10,143.053,
1995-01,-146.592,
1995-04,-147.967,
1995-07,-147.339,
1995-10,-153.438,
1996-01,184.792,
1996-04,178.256,
1996-07,183.579,
1996-10,181.656,
1997-01,-23.502,
1997-04,-12.016,
1997-07,-16.592,
1997-10,-24.876,
1998-01,-12.781,
1998-04,-13.924,
1998-07,-17.870,
1998-10,-32.012,
1999-01,-183.375,
1999-04,-177.104,
1999-07,-179.188,
1999-10,-182.924,
2000-01,83.024,
2000-04,74.970,
2000-07,78.184,
2000-10,-81.141,
2001-01,-267.648,
2001-04,-312.078,
2001-07,-318.600,
2001-10,-216.972,
2002-01,-119.028,
2002-04,-164.091,
2002-07,-137.946,
2002-10,-175.141,
2003-01,-30.748,
2003-04,-66.079,
2003-07,-61.711,
2003-10,-71.428,
2004-01,239.694,
2004-04,198.864,
2004-07,218.802,
2004-10,240.853,
2005-01,160.087,
2005-04,172.123,
2005-07,107.811,
2005-10,-13.668,
2006-01,33.672,
2006-04,125.319,
2006-07,27.791,
2006-10,35.396,
2007-01,411.244,
2007-04,374.899,
2007-07,240.032,
2007-10,-108.041,
2008-01,316.032,
2008-04,-50.889,
2008-07,-46.109,
2008-10,186.602,
2009-01,149.681,
2009-04,139.091,
2009-07,142.568,
2009-10,89.653,
2010-01,428.327,
2010-04,18.612,
2010-07,188.888,
2010-10,225.562,
2011-01,372.030,
2011-04,340.380,
2011-07,160.631,
2011-10,-134.108,
2012-01,433.666,
2012-04,387.609,
2012-07,457.663,
2012-10,379.459,
2013-01,215.966,
2013-04,3.966,
2013-07,193.684,
2013-10,155.351,
2014-01,175.788,Provisional value
2014-04,49.561,Provisional value
2014-07,173.199,Provisional value
2014-10,123.369,Provisional value
