"",BBXE1.M.I7.W.PROD.NS0020.IND.I00,BBXE1.M.I7.W.PROD.NS0020.IND.I00_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:34,
1991-01,85.37,
1991-02,85.75,
1991-03,92.98,
1991-04,85.29,
1991-05,85.18,
1991-06,90.40,
1991-07,84.84,
1991-08,63.18,
1991-09,89.99,
1991-10,92.44,
1991-11,92.37,
1991-12,83.12,
1992-01,84.61,
1992-02,86.41,
1992-03,92.87,
1992-04,86.31,
1992-05,86.01,
1992-06,88.58,
1992-07,84.22,
1992-08,60.72,
1992-09,87.28,
1992-10,89.91,
1992-11,87.76,
1992-12,77.65,
1993-01,79.27,
1993-02,79.98,
1993-03,86.71,
1993-04,79.98,
1993-05,80.29,
1993-06,82.93,
1993-07,79.71,
1993-08,57.85,
1993-09,84.72,
1993-10,86.70,
1993-11,85.90,
1993-12,77.75,
1994-01,78.44,
1994-02,81.03,
1994-03,88.36,
1994-04,83.29,
1994-05,83.58,
1994-06,87.40,
1994-07,84.88,
1994-08,61.40,
1994-09,89.17,
1994-10,91.88,
1994-11,91.35,
1994-12,84.38,
1995-01,84.33,
1995-02,85.56,
1995-03,93.59,
1995-04,86.75,
1995-05,88.01,
1995-06,90.70,
1995-07,88.19,
1995-08,64.75,
1995-09,91.86,
1995-10,92.86,
1995-11,91.74,
1995-12,84.94,
1996-01,83.65,
1996-02,85.03,
1996-03,93.28,
1996-04,85.33,
1996-05,87.23,
1996-06,90.35,
1996-07,87.39,
1996-08,65.18,
1996-09,91.41,
1996-10,93.13,
1996-11,92.37,
1996-12,84.02,
1997-01,84.27,
1997-02,86.45,
1997-03,95.45,
1997-04,89.49,
1997-05,89.20,
1997-06,94.29,
1997-07,92.77,
1997-08,68.68,
1997-09,95.14,
1997-10,99.08,
1997-11,96.90,
1997-12,89.35,
1998-01,89.60,
1998-02,91.68,
1998-03,100.61,
1998-04,93.55,
1998-05,94.48,
1998-06,97.63,
1998-07,96.37,
1998-08,70.75,
1998-09,98.09,
1998-10,100.49,
1998-11,98.58,
1998-12,88.97,
1999-01,90.65,
1999-02,91.08,
1999-03,100.13,
1999-04,92.93,
1999-05,93.91,
1999-06,98.31,
1999-07,97.14,
1999-08,72.58,
1999-09,100.01,
1999-10,103.24,
1999-11,102.57,
1999-12,93.07,
2000-01,93.53,
2000-02,96.23,
2000-03,105.57,
2000-04,98.31,
2000-05,100.78,
2000-06,102.60,
2000-07,101.13,
2000-08,78.62,
2000-09,104.80,
2000-10,107.19,
2000-11,107.24,
2000-12,99.35,
2001-01,97.81,
2001-02,100.26,
2001-03,109.13,
2001-04,99.23,
2001-05,101.10,
2001-06,104.45,
2001-07,100.21,
2001-08,79.14,
2001-09,103.97,
2001-10,105.01,
2001-11,103.07,
2001-12,95.14,
2002-01,95.26,
2002-02,97.20,
2002-03,107.19,
2002-04,98.73,
2002-05,99.97,
2002-06,103.64,
2002-07,100.88,
2002-08,78.31,
2002-09,104.13,
2002-10,106.13,
2002-11,105.67,
2002-12,95.06,
2003-01,96.81,
2003-02,98.90,
2003-03,107.31,
2003-04,99.58,
2003-05,98.63,
2003-06,101.81,
2003-07,101.62,
2003-08,77.29,
2003-09,102.58,
2003-10,107.39,
2003-11,106.15,
2003-12,97.05,
2004-01,97.34,
2004-02,99.87,
2004-03,108.97,
2004-04,101.54,
2004-05,102.28,
2004-06,105.75,
2004-07,104.45,
2004-08,79.34,
2004-09,106.44,
2004-10,109.39,
2004-11,107.35,
2004-12,97.95,
2005-01,98.76,
2005-02,100.68,
2005-03,109.87,
2005-04,102.87,
2005-05,102.36,
2005-06,106.53,
2005-07,105.38,
2005-08,81.15,
2005-09,108.43,
2005-10,110.68,
2005-11,111.23,
2005-12,101.02,
2006-01,101.64,
2006-02,104.06,
2006-03,114.21,
2006-04,105.45,
2006-05,108.60,
2006-06,111.93,
2006-07,109.44,
2006-08,86.40,
2006-09,113.09,
2006-10,115.13,
2006-11,114.87,
2006-12,106.48,
2007-01,105.61,
2007-02,108.96,
2007-03,119.61,
2007-04,108.76,
2007-05,112.64,
2007-06,115.63,
2007-07,113.93,
2007-08,90.60,
2007-09,117.48,
2007-10,120.70,
2007-11,118.65,
2007-12,108.08,
2008-01,109.79,
2008-02,112.07,
2008-03,121.88,
2008-04,113.83,
2008-05,111.93,
2008-06,115.19,
2008-07,112.81,
2008-08,89.29,
2008-09,114.12,
2008-10,113.68,
2008-11,108.08,
