"",BBK01.OEXI09Q,BBK01.OEXI09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:23,
2002-01,0.499,
2002-04,0.470,
2002-07,0.498,
2002-10,0.476,
2003-01,0.424,
2003-04,0.384,
2003-07,0.356,
2003-10,0.340,
2004-01,0.325,
2004-04,0.303,
2004-07,0.286,
2004-10,0.269,
2005-01,0.274,
2005-04,0.263,
2005-07,0.233,
2005-10,0.227,
2006-01,0.232,
2006-04,0.251,
2006-07,0.266,
2006-10,0.292,
2007-01,0.436,
2007-04,0.498,
2007-07,0.559,
2007-10,0.647,
2008-01,0.687,
2008-04,0.711,
2008-07,0.759,
2008-10,1.028,
2009-01,0.991,
2009-04,0.961,
2009-07,0.967,
2009-10,0.786,
2010-01,0.642,
2010-04,0.618,
2010-07,0.583,
2010-10,0.694,
2011-01,0.809,
2011-04,0.836,
2011-07,0.849,
2011-10,0.809,
2012-01,0.748,
2012-04,0.732,
2012-07,0.676,
2012-10,0.576,
2013-01,0.479,
2013-04,0.418,
2013-07,0.392,
2013-10,0.368,
2014-01,0.353,
2014-04,0.337,
2014-07,0.438,
