"",BBK01.OEHB04P,BBK01.OEHB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:33,
2002-01,6.941,
2002-04,6.972,
2002-07,7.019,
2002-10,7.102,
2003-01,7.128,
2003-04,7.137,
2003-07,7.212,
2003-10,7.289,
2004-01,7.285,
2004-04,7.304,
2004-07,7.357,
2004-10,7.406,
2005-01,7.433,
2005-04,7.463,
2005-07,7.521,
2005-10,7.557,
2006-01,7.529,
2006-04,7.549,
2006-07,7.618,
2006-10,7.722,
2007-01,7.698,
2007-04,7.732,
2007-07,7.822,
2007-10,7.827,
2008-01,7.802,
2008-04,7.841,
2008-07,7.923,
2008-10,8.008,
2009-01,8.055,
2009-04,8.059,
2009-07,8.089,
2009-10,8.221,
2010-01,8.222,
2010-04,8.340,
2010-07,8.433,
2010-10,8.561,
2011-01,8.568,
2011-04,8.608,
2011-07,8.683,
2011-10,8.718,
2012-01,8.746,
2012-04,8.874,
2012-07,8.972,
2012-10,9.068,
2013-01,9.123,
2013-04,9.249,
2013-07,9.316,
2013-10,9.361,
2014-01,9.342,
2014-04,9.382,
2014-07,9.502,
