"",BBFB1.Q.N.DE.JP.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:13,
1991-01,-98.625,
1991-04,68.969,
1991-07,39.211,
1991-10,-2.862,
1992-01,-60.339,
1992-04,65.045,
1992-07,-77.191,
1992-10,8.592,
1993-01,-27.257,
1993-04,169.685,
1993-07,-3.032,
1993-10,54.186,
1994-01,-87.378,
1994-04,96.132,
1994-07,-62.900,
1994-10,-17.673,
1995-01,-4.796,
1995-04,145.198,
1995-07,29.405,
1995-10,13.129,
1996-01,-65.010,
1996-04,95.664,
1996-07,-40.830,
1996-10,-12.170,
1997-01,44.653,
1997-04,84.578,
1997-07,182.895,
1997-10,93.715,
1998-01,103.570,
1998-04,147.397,
1998-07,201.676,
1998-10,93.588,
1999-01,33.634,
1999-04,111.036,
1999-07,152.798,
1999-10,169.830,
2000-01,-106.380,
2000-04,122.168,
2000-07,82.871,
2000-10,129.113,
2001-01,-96.048,
2001-04,150.247,
2001-07,114.256,
2001-10,141.519,
2002-01,13.982,
2002-04,168.499,
2002-07,163.228,
2002-10,93.763,
2003-01,114.965,
2003-04,123.844,
2003-07,78.455,
2003-10,85.537,
2004-01,23.492,
2004-04,91.467,
2004-07,119.386,
2004-10,158.650,
2005-01,-32.983,
2005-04,60.625,
2005-07,86.902,
2005-10,14.338,
2006-01,103.735,
2006-04,328.046,
2006-07,293.441,
2006-10,182.408,
2007-01,171.383,
2007-04,362.253,
2007-07,234.045,
2007-10,112.135,
2008-01,183.271,
2008-04,350.379,
2008-07,248.769,
2008-10,380.684,
2009-01,425.967,
2009-04,570.442,
2009-07,352.729,
2009-10,348.846,
2010-01,170.179,
2010-04,262.404,
2010-07,280.366,
2010-10,232.816,
2011-01,84.588,
2011-04,190.383,
2011-07,222.232,
2011-10,-8.564,
2012-01,106.009,
2012-04,82.824,
2012-07,167.418,
2012-10,193.186,
2013-01,192.170,
2013-04,281.811,
2013-07,203.580,
2013-10,202.369,
2014-01,6.640,Provisional value
2014-04,163.558,Provisional value
2014-07,117.956,Provisional value
