"",BBFB1.Q.N.DE.CZ.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:44,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,92.339,
1993-04,92.296,
1993-07,85.785,
1993-10,82.684,
1994-01,82.959,
1994-04,85.446,
1994-07,84.535,
1994-10,98.114,
1995-01,102.082,
1995-04,86.598,
1995-07,97.773,
1995-10,119.575,
1996-01,99.961,
1996-04,102.766,
1996-07,114.458,
1996-10,133.474,
1997-01,131.161,
1997-04,114.306,
1997-07,140.813,
1997-10,132.687,
1998-01,120.943,
1998-04,130.362,
1998-07,172.321,
1998-10,148.153,
1999-01,122.880,
1999-04,163.135,
1999-07,170.987,
1999-10,177.560,
2000-01,166.080,
2000-04,177.879,
2000-07,178.481,
2000-10,218.347,
2001-01,176.485,
2001-04,243.167,
2001-07,196.935,
2001-10,250.777,
2002-01,207.454,
2002-04,264.979,
2002-07,227.341,
2002-10,249.100,
2003-01,206.987,
2003-04,245.580,
2003-07,258.277,
2003-10,258.260,
2004-01,215.802,
2004-04,277.928,
2004-07,253.758,
2004-10,301.288,
2005-01,242.832,
2005-04,309.058,
2005-07,290.424,
2005-10,389.822,
2006-01,272.700,
2006-04,333.524,
2006-07,299.314,
2006-10,344.708,
2007-01,295.134,
2007-04,354.579,
2007-07,322.701,
2007-10,384.273,
2008-01,331.245,
2008-04,395.693,
2008-07,367.519,
2008-10,438.648,
2009-01,309.422,
2009-04,360.665,
2009-07,389.988,
2009-10,462.339,
2010-01,325.663,
2010-04,426.819,
2010-07,550.557,
2010-10,443.719,
2011-01,410.144,
2011-04,489.327,
2011-07,652.080,
2011-10,553.908,
2012-01,487.369,
2012-04,535.437,
2012-07,749.483,
2012-10,597.540,
2013-01,496.883,
2013-04,534.838,
2013-07,674.812,
2013-10,659.826,
2014-01,593.067,Provisional value
2014-04,681.562,Provisional value
2014-07,854.508,Provisional value
