"",BBK01.OECB06O,BBK01.OECB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:00,
2002-01,1.580,
2002-04,1.579,
2002-07,1.465,
2002-10,1.463,
2003-01,1.332,
2003-04,1.212,
2003-07,1.068,
2003-10,1.177,
2004-01,1.135,
2004-04,1.050,
2004-07,1.045,
2004-10,1.205,
2005-01,1.152,
2005-04,1.141,
2005-07,1.091,
2005-10,1.145,
2006-01,1.038,
2006-04,1.174,
2006-07,1.278,
2006-10,1.261,
2007-01,1.320,
2007-04,1.329,
2007-07,1.116,
2007-10,1.142,
2008-01,1.164,
2008-04,1.116,
2008-07,1.208,
2008-10,1.168,
2009-01,1.184,
2009-04,1.016,
2009-07,0.907,
2009-10,0.742,
2010-01,0.912,
2010-04,0.954,
2010-07,0.913,
2010-10,0.745,
2011-01,0.968,
2011-04,1.290,
2011-07,1.036,
2011-10,0.979,
2012-01,0.942,
2012-04,0.916,
2012-07,0.919,
2012-10,0.804,
2013-01,1.020,
2013-04,0.975,
2013-07,0.935,
2013-10,0.821,
2014-01,0.955,
2014-04,1.090,
2014-07,0.968,
