"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United Kingdom / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:05,
2009-09,3211,
2009-10,3348,
2009-11,3348,
2009-12,3210,
2010-01,3250,
2010-02,3141,
2010-03,3219,
2010-04,3296,
2010-05,3334,
2010-06,3599,
2010-07,3493,
2010-08,3805,
2010-09,3804,
2010-10,3557,
2010-11,3654,
2010-12,3598,
2011-01,3332,
2011-02,2618,
2011-03,2601,
2011-04,2562,
2011-05,2629,
2011-06,2593,
2011-07,2580,
2011-08,2615,
2011-09,2914,
2011-10,2919,
2011-11,3149,
2011-12,3231,
2012-01,3319,
2012-02,3149,
2012-03,3101,
2012-04,3266,
2012-05,3402,
2012-06,3447,
2012-07,3508,
2012-08,3416,
2012-09,3317,
2012-10,3188,
2012-11,3103,
2012-12,3097,
2013-01,2665,
2013-02,2690,
2013-03,2983,
2013-04,3089,
2013-05,2993,
2013-06,2920,
2013-07,2915,
2013-08,2936,
2013-09,2946,
2013-10,2757,
2013-11,2753,
2013-12,2749,
2014-01,2656,
2014-02,2629,
2014-03,2689,
2014-04,2682,
2014-05,2801,
2014-06,2914,
2014-07,3024,
2014-08,3155,
2014-09,3342,
2014-10,3147,
2014-11,3335,
