"",BBFN1.M.DE.N.1.A.NZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:41,
1994-12,0.108,
1995-01,0.114,
1995-02,0.112,
1995-03,0.119,
1995-04,0.119,
1995-05,0.120,
1995-06,0.124,
1995-07,0.127,
1995-08,0.124,
1995-09,0.134,
1995-10,0.130,
1995-11,0.130,
1995-12,0.121,
1996-01,0.124,
1996-02,0.125,
1996-03,0.145,
1996-04,0.149,
1996-05,0.170,
1996-06,0.167,
1996-07,0.154,
1996-08,0.164,
1996-09,0.175,
1996-10,0.187,
1996-11,0.185,
1996-12,0.170,
1997-01,0.195,
1997-02,0.174,
1997-03,0.179,
1997-04,0.179,
1997-05,0.210,
1997-06,0.202,
1997-07,0.205,
1997-08,0.216,
1997-09,0.233,
1997-10,0.215,
1997-11,0.215,
1997-12,0.202,
1998-01,0.200,
1998-02,0.212,
1998-03,0.205,
1998-04,0.203,
1998-05,0.207,
1998-06,0.206,
1998-07,0.212,
1998-08,0.219,
1998-09,0.204,
1998-10,0.204,
1998-11,0.190,
1998-12,0.182,
1999-01,0.179,
1999-02,0.181,
1999-03,0.180,
1999-04,0.191,
1999-05,0.187,
1999-06,0.213,
1999-07,0.213,
1999-08,0.205,
1999-09,0.217,
1999-10,0.220,
1999-11,0.207,
1999-12,0.229,
2000-01,0.224,
2000-02,0.189,
2000-03,0.202,
2000-04,0.210,
2000-05,0.293,
2000-06,0.208,
2000-07,0.226,
2000-08,0.233,
2000-09,0.230,
2000-10,0.211,
2000-11,0.197,
2000-12,0.193,
2001-01,0.190,
2001-02,0.200,
2001-03,0.201,
2001-04,0.246,
2001-05,0.214,
2001-06,0.256,
2001-07,0.252,
2001-08,0.221,
2001-09,0.222,
2001-10,0.210,
2001-11,0.208,
2001-12,0.198,
2002-01,0.174,
2002-02,0.175,
2002-03,0.169,
2002-04,0.162,
2002-05,0.175,
2002-06,0.198,
2002-07,0.192,
2002-08,0.229,
2002-09,0.185,
2002-10,0.212,
2002-11,0.220,
2002-12,0.213,
2003-01,0.202,
2003-02,0.214,
2003-03,0.205,
2003-04,0.208,
2003-05,0.211,
2003-06,0.220,
2003-07,0.220,
2003-08,0.224,
2003-09,0.213,
2003-10,0.216,
2003-11,0.243,
2003-12,0.240,
2004-01,0.227,
2004-02,0.215,
2004-03,0.235,
2004-04,0.234,
2004-05,0.199,
2004-06,0.216,
2004-07,0.276,
2004-08,0.280,
2004-09,0.250,
2004-10,0.200,
2004-11,0.200,
2004-12,0.233,
2005-01,0.189,
2005-02,0.208,
2005-03,0.197,
2005-04,0.216,
2005-05,0.227,
2005-06,0.243,
2005-07,0.224,
2005-08,0.223,
2005-09,0.236,
2005-10,0.255,
2005-11,0.208,
2005-12,0.193,
2006-01,0.195,
2006-02,0.182,
2006-03,0.184,
2006-04,0.184,
2006-05,0.194,
2006-06,0.207,
2006-07,0.203,
2006-08,0.218,
2006-09,0.213,
2006-10,0.208,
2006-11,0.210,
2006-12,0.207,
2007-01,0.175,
2007-02,0.174,
2007-03,0.179,
2007-04,0.170,
2007-05,0.248,
2007-06,0.294,
2007-07,0.261,
2007-08,0.282,
2007-09,0.276,
2007-10,0.292,
2007-11,0.348,
2007-12,0.335,
2008-01,0.390,
2008-02,0.383,
2008-03,0.404,
2008-04,0.355,
2008-05,0.421,
2008-06,0.380,
2008-07,0.325,
2008-08,0.266,
2008-09,0.261,
2008-10,0.202,
2008-11,0.243,
2008-12,0.196,
2009-01,0.177,
2009-02,0.186,
2009-03,0.169,
2009-04,0.163,
2009-05,0.175,
2009-06,0.203,
2009-07,0.233,
2009-08,0.264,
2009-09,0.273,
2009-10,0.267,
2009-11,0.246,
2009-12,0.223,
2010-01,0.230,
2010-02,0.226,
2010-03,0.248,
2010-04,0.244,
2010-05,0.274,
2010-06,0.290,
2010-07,0.289,
2010-08,0.265,
2010-09,0.276,
2010-10,0.308,
2010-11,0.324,
2010-12,0.316,
2011-01,0.318,
2011-02,0.329,
2011-03,0.344,
2011-04,0.343,
2011-05,0.348,
2011-06,0.358,
2011-07,0.361,
2011-08,0.351,
2011-09,0.358,
2011-10,0.355,
2011-11,0.345,
2011-12,0.342,
2012-01,0.324,
2012-02,0.283,
2012-03,0.288,
2012-04,0.289,
2012-05,0.293,
2012-06,0.353,
2012-07,0.285,
2012-08,0.280,
2012-09,0.292,
2012-10,0.288,
2012-11,0.309,
2012-12,0.323,
2013-01,0.306,
2013-02,0.325,
2013-03,0.293,
2013-04,0.312,
2013-05,0.340,
2013-06,0.358,
2013-07,0.351,
2013-08,0.363,
2013-09,0.421,
2013-10,0.437,
2013-11,0.448,
2013-12,0.489,
2014-01,0.398,
2014-02,0.378,
2014-03,0.349,
2014-04,0.326,
2014-05,0.332,
2014-06,0.322,
2014-07,0.371,
2014-08,0.429,
2014-09,0.408,
2014-10,0.434,
2014-11,0.391,
2014-12,0.451,
