"",BBK01.OEAN05S,BBK01.OEAN05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:16,
2002-01,2.121,
2002-04,2.125,
2002-07,2.096,
2002-10,2.118,
2003-01,2.130,
2003-04,2.205,
2003-07,2.018,
2003-10,2.019,
2004-01,2.027,
2004-04,1.913,
2004-07,1.954,
2004-10,1.954,
2005-01,1.939,
2005-04,1.902,
2005-07,1.940,
2005-10,1.940,
2006-01,1.937,
2006-04,1.881,
2006-07,1.789,
2006-10,1.747,
2007-01,1.717,
2007-04,1.665,
2007-07,1.618,
2007-10,1.632,
2008-01,1.622,
2008-04,1.556,
2008-07,1.526,
2008-10,1.516,
2009-01,1.561,
2009-04,1.604,
2009-07,1.696,
2009-10,1.755,
2010-01,2.090,
2010-04,2.109,
2010-07,2.208,
2010-10,1.798,
2011-01,1.798,
2011-04,1.814,
2011-07,1.805,
2011-10,1.817,
2012-01,1.838,
2012-04,1.843,
2012-07,1.887,
2012-10,1.940,
2013-01,2.085,
2013-04,2.025,
2013-07,2.051,
2013-10,2.090,
2014-01,2.171,
2014-04,2.199,
2014-07,2.222,
