"",BBK01.OEAH41I,BBK01.OEAH41I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:35,
2002-01,0.169,
2002-04,0.133,
2002-07,0.134,
2002-10,0.136,
2003-01,0.135,
2003-04,0.123,
2003-07,0.012,
2003-10,0.012,
2004-01,0.013,
2004-04,0.024,
2004-07,0.013,
2004-10,0.014,
2005-01,0.012,
2005-04,0.017,
2005-07,0.013,
2005-10,0.018,
2006-01,0.020,
2006-04,0.018,
2006-07,0.021,
2006-10,0.023,
2007-01,0.027,
2007-04,0.025,
2007-07,0.022,
2007-10,0.026,
2008-01,0.022,
2008-04,0.022,
2008-07,0.028,
2008-10,0.024,
2009-01,0.029,
2009-04,0.032,
2009-07,0.022,
2009-10,0.022,
2010-01,0.039,
2010-04,0.046,
2010-07,0.030,
2010-10,0.036,
2011-01,0.038,
2011-04,0.038,
2011-07,0.037,
2011-10,0.031,
2012-01,0.028,
2012-04,0.033,
2012-07,0.033,
2012-10,0.035,
2013-01,0.038,
2013-04,0.041,
2013-07,0.055,
2013-10,0.052,
2014-01,0.062,
2014-04,0.063,
2014-07,0.060,
