"",BBK01.CELON0,BBK01.CELON0_FLAGS
"",Other deposits                                                 debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:09,
1999-01,-45.5,
1999-04,-3.8,
1999-07,15.7,
1999-10,5.8,
2000-01,9.0,
2000-04,-3.2,
2000-07,30.0,
2000-10,8.2,
2001-01,1.3,
2001-04,-18.7,
2001-07,33.9,
2001-10,46.9,
2002-01,-0.7,
2002-04,23.8,
2002-07,46.8,
2002-10,23.7,
2003-01,49.5,
2003-04,47.8,
2003-07,-16.4,
2003-10,30.4,
2004-01,12.6,
2004-04,15.5,
2004-07,9.5,
2004-10,88.5,
2005-01,4.7,
2005-04,17.2,
2005-07,42.3,
2005-10,16.6,
2006-01,37.7,
2006-04,57.0,
2006-07,0.0,
2006-10,28.1,
2007-01,6.7,
2007-04,70.0,
2007-07,28.4,
2007-10,57.8,
2008-01,14.2,
2008-04,-11.1,
2008-07,33.2,
2008-10,-55.5,
2009-01,-60.4,
2009-04,4.6,
2009-07,-69.6,
2009-10,29.8,
2010-01,-33.5,
2010-04,-5.5,
2010-07,-12.2,
2010-10,-36.9,
2011-01,-23.8,
2011-04,9.4,
2011-07,12.4,
2011-10,-14.8,
2012-01,-32.0,
2012-04,-26.7,
2012-07,-23.2,
2012-10,-24.6,
2013-01,-9.2,
2013-04,-9.5,
2013-07,-32.2,
2013-10,14.9,
2014-01,66.2,
2014-04,24.8,
2014-07,-10.5,
