"",BBK01.OEAE14T,BBK01.OEAE14T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:07,
2002-01,0.053,
2002-04,0.051,
2002-07,0.050,
2002-10,0.047,
2003-01,0.049,
2003-04,0.049,
2003-07,0.046,
2003-10,0.046,
2004-01,0.045,
2004-04,0.043,
2004-07,0.036,
2004-10,0.036,
2005-01,0.036,
2005-04,0.033,
2005-07,0.032,
2005-10,0.032,
2006-01,0.031,
2006-04,0.028,
2006-07,0.028,
2006-10,0.025,
2007-01,0.027,
2007-04,0.022,
2007-07,0.022,
2007-10,0.018,
2008-01,0.022,
2008-04,0.020,
2008-07,0.018,
2008-10,0.017,
2009-01,0.019,
2009-04,0.018,
2009-07,0.020,
2009-10,0.020,
2010-01,0.019,
2010-04,0.020,
2010-07,0.016,
2010-10,0.017,
2011-01,0.018,
2011-04,0.016,
2011-07,0.013,
2011-10,0.014,
2012-01,0.015,
2012-04,0.014,
2012-07,0.016,
2012-10,0.017,
2013-01,0.020,
2013-04,0.019,
2013-07,0.015,
2013-10,0.013,
2014-01,0.015,
2014-04,0.013,
2014-07,0.012,
