"",BBSF2.M.1.T.00000.ALT01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:20,
2009-09,434,
2009-10,419,
2009-11,419,
2009-12,441,
2010-01,242,
2010-02,243,
2010-03,262,
2010-04,248,
2010-05,236,
2010-06,231,
2010-07,328,
2010-08,307,
2010-09,313,
2010-10,326,
2010-11,320,
2010-12,337,
2011-01,342,
2011-02,349,
2011-03,337,
2011-04,349,
2011-05,343,
2011-06,328,
2011-07,322,
2011-08,302,
2011-09,425,
2011-10,460,
2011-11,439,
2011-12,453,
2012-01,455,
2012-02,470,
2012-03,464,
2012-04,437,
2012-05,416,
2012-06,425,
2012-07,445,
2012-08,457,
2012-09,453,
2012-10,469,
2012-11,439,
2012-12,453,
2013-01,454,
2013-02,448,
2013-03,462,
2013-04,452,
2013-05,452,
2013-06,441,
2013-07,437,
2013-08,438,
2013-09,445,
2013-10,455,
2013-11,464,
2013-12,462,
2014-01,442,
2014-02,466,
2014-03,462,
2014-04,461,
2014-05,472,
2014-06,461,
2014-07,450,
2014-08,450,
2014-09,445,
2014-10,440,
2014-11,453,
