"",BBEX3.A.BHD.USD.CA.AC.A04,BBEX3.A.BHD.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Bahrain / USD 1 = BHD ... (middle),
unit,BHD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:58,
1996,0.376000,
1997,0.376000,
1998,0.376000,
1999,0.376000,
2000,0.376000,
2001,0.376000,
2002,0.376000,
2003,0.376000,
2004,0.376000,
2005,0.376000,
2006,0.376000,
2007,0.376000,
2008,0.376000,
2009,0.375875,
2010,0.375875,
2011,0.375875,
2012,0.375875,
2013,0.375875,
2014,0.375875,
"",General: The Bahraini dinar is pegged to the US dollar.,
"","Source: Since 2009: National Bank of Bahrain, Manama. 1996 - 2008: The British Bank of the Middle East, Manama.",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
