"",BBK01.OEAC36S,BBK01.OEAC36S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:34,
2002-01,0.026,
2002-04,0.027,
2002-07,0.027,
2002-10,0.026,
2003-01,0.025,
2003-04,0.024,
2003-07,0.027,
2003-10,0.029,
2004-01,0.030,
2004-04,0.029,
2004-07,0.027,
2004-10,0.025,
2005-01,0.024,
2005-04,0.025,
2005-07,0.024,
2005-10,0.020,
2006-01,0.020,
2006-04,0.023,
2006-07,0.024,
2006-10,0.018,
2007-01,0.019,
2007-04,0.020,
2007-07,0.022,
2007-10,0.016,
2008-01,0.019,
2008-04,0.022,
2008-07,0.023,
2008-10,0.018,
2009-01,0.020,
2009-04,0.021,
2009-07,0.030,
2009-10,0.039,
2010-01,0.045,
2010-04,0.047,
2010-07,0.084,
2010-10,0.046,
2011-01,0.049,
2011-04,0.047,
2011-07,0.045,
2011-10,0.040,
2012-01,0.040,
2012-04,0.039,
2012-07,0.040,
2012-10,0.033,
2013-01,0.034,
2013-04,0.031,
2013-07,0.032,
2013-10,0.027,
2014-01,0.027,
2014-04,0.027,
2014-07,0.029,
