"",BBK01.OEHL03R,BBK01.OEHL03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:44,
2002-01,0.182,
2002-04,0.175,
2002-07,0.185,
2002-10,0.171,
2003-01,0.177,
2003-04,0.168,
2003-07,0.168,
2003-10,0.148,
2004-01,0.151,
2004-04,0.149,
2004-07,0.141,
2004-10,0.132,
2005-01,0.129,
2005-04,0.126,
2005-07,0.123,
2005-10,0.117,
2006-01,0.115,
2006-04,0.112,
2006-07,0.103,
2006-10,0.097,
2007-01,0.095,
2007-04,0.094,
2007-07,0.098,
2007-10,0.107,
2008-01,0.109,
2008-04,0.111,
2008-07,0.118,
2008-10,0.145,
2009-01,0.132,
2009-04,0.110,
2009-07,0.095,
2009-10,0.077,
2010-01,0.071,
2010-04,0.066,
2010-07,0.069,
2010-10,0.064,
2011-01,0.064,
2011-04,0.063,
2011-07,0.065,
2011-10,0.070,
2012-01,0.068,
2012-04,0.063,
2012-07,0.058,
2012-10,0.049,
2013-01,0.045,
2013-04,0.043,
2013-07,0.041,
2013-10,0.039,
2014-01,0.038,
2014-04,0.029,
2014-07,0.028,
