"",BBK01.OEAH69S,BBK01.OEAH69S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:30,
2002-01,2.661,
2002-04,2.637,
2002-07,2.621,
2002-10,2.603,
2003-01,2.497,
2003-04,2.375,
2003-07,2.249,
2003-10,2.266,
2004-01,2.160,
2004-04,2.073,
2004-07,1.917,
2004-10,1.906,
2005-01,1.768,
2005-04,1.664,
2005-07,1.667,
2005-10,1.697,
2006-01,1.769,
2006-04,1.861,
2006-07,1.933,
2006-10,2.115,
2007-01,2.461,
2007-04,2.585,
2007-07,2.787,
2007-10,2.961,
2008-01,3.012,
2008-04,3.099,
2008-07,3.087,
2008-10,3.334,
2009-01,3.230,
2009-04,3.135,
2009-07,2.870,
2009-10,2.552,
2010-01,2.289,
2010-04,2.214,
2010-07,2.092,
2010-10,2.151,
2011-01,2.224,
2011-04,2.220,
2011-07,2.196,
2011-10,2.146,
2012-01,2.111,
2012-04,2.141,
2012-07,2.071,
2012-10,1.958,
2013-01,1.867,
2013-04,1.805,
2013-07,1.722,
2013-10,1.688,
2014-01,1.701,
2014-04,1.623,
2014-07,1.632,
