"",BBFB1.Q.N.DE.CZ.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:46,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,41.443,
1993-04,39.800,
1993-07,38.387,
1993-10,36.078,
1994-01,33.430,
1994-04,37.281,
1994-07,40.700,
1994-10,48.046,
1995-01,38.696,
1995-04,40.883,
1995-07,43.539,
1995-10,45.664,
1996-01,35.103,
1996-04,35.951,
1996-07,33.785,
1996-10,35.250,
1997-01,22.815,
1997-04,22.351,
1997-07,22.066,
1997-10,26.301,
1998-01,20.422,
1998-04,20.900,
1998-07,23.561,
1998-10,23.868,
1999-01,15.633,
1999-04,20.447,
1999-07,23.103,
1999-10,21.992,
2000-01,12.526,
2000-04,13.577,
2000-07,16.967,
2000-10,18.100,
2001-01,13.027,
2001-04,14.240,
2001-07,17.247,
2001-10,19.885,
2002-01,15.162,
2002-04,17.248,
2002-07,19.865,
2002-10,20.189,
2003-01,15.004,
2003-04,20.964,
2003-07,24.857,
2003-10,20.804,
2004-01,18.747,
2004-04,15.642,
2004-07,17.959,
2004-10,18.198,
2005-01,23.345,
2005-04,20.922,
2005-07,22.199,
2005-10,19.105,
2006-01,17.046,
2006-04,28.219,
2006-07,20.483,
2006-10,23.353,
2007-01,17.925,
2007-04,19.240,
2007-07,20.140,
2007-10,21.344,
2008-01,18.602,
2008-04,20.875,
2008-07,21.794,
2008-10,20.997,
2009-01,20.119,
2009-04,21.929,
2009-07,21.154,
2009-10,22.595,
2010-01,21.951,
2010-04,25.035,
2010-07,21.578,
2010-10,24.978,
2011-01,20.372,
2011-04,30.161,
2011-07,30.595,
2011-10,32.217,
2012-01,29.194,
2012-04,39.408,
2012-07,38.332,
2012-10,45.911,
2013-01,41.299,
2013-04,40.345,
2013-07,37.070,
2013-10,42.093,
2014-01,34.730,Provisional value
2014-04,42.024,Provisional value
2014-07,39.786,Provisional value
