"",BBK01.OECM02S,BBK01.OECM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:32,
2002-01,0.077,
2002-04,0.062,
2002-07,0.066,
2002-10,0.073,
2003-01,0.065,
2003-04,0.059,
2003-07,0.075,
2003-10,0.073,
2004-01,0.068,
2004-04,0.067,
2004-07,0.066,
2004-10,0.066,
2005-01,0.067,
2005-04,0.066,
2005-07,0.072,
2005-10,0.065,
2006-01,0.065,
2006-04,0.052,
2006-07,0.057,
2006-10,0.049,
2007-01,0.066,
2007-04,0.051,
2007-07,0.054,
2007-10,0.054,
2008-01,0.056,
2008-04,0.045,
2008-07,0.039,
2008-10,0.044,
2009-01,0.067,
2009-04,0.178,
2009-07,0.042,
2009-10,0.053,
2010-01,0.049,
2010-04,0.063,
2010-07,0.051,
2010-10,0.038,
2011-01,0.076,
2011-04,0.059,
2011-07,0.056,
2011-10,0.083,
2012-01,0.156,
2012-04,0.045,
2012-07,0.053,
2012-10,0.061,
2013-01,0.056,
2013-04,0.050,
2013-07,0.048,
2013-10,0.134,
2014-01,0.132,
2014-04,0.041,
2014-07,0.035,
