"",BBK01.OEAE02T,BBK01.OEAE02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:02,
2002-01,2.464,
2002-04,2.469,
2002-07,2.523,
2002-10,2.528,
2003-01,3.143,
2003-04,3.154,
2003-07,3.165,
2003-10,3.268,
2004-01,3.297,
2004-04,3.287,
2004-07,3.305,
2004-10,3.309,
2005-01,3.286,
2005-04,3.247,
2005-07,3.243,
2005-10,3.275,
2006-01,3.271,
2006-04,3.214,
2006-07,3.234,
2006-10,3.339,
2007-01,3.317,
2007-04,3.387,
2007-07,3.436,
2007-10,3.468,
2008-01,3.565,
2008-04,3.652,
2008-07,3.730,
2008-10,3.907,
2009-01,4.282,
2009-04,4.471,
2009-07,4.611,
2009-10,4.813,
2010-01,4.725,
2010-04,4.691,
2010-07,4.704,
2010-10,4.706,
2011-01,4.694,
2011-04,4.776,
2011-07,4.797,
2011-10,4.817,
2012-01,5.063,
2012-04,4.982,
2012-07,5.080,
2012-10,5.190,
2013-01,5.244,
2013-04,5.612,
2013-07,5.487,
2013-10,5.565,
2014-01,5.661,
2014-04,5.801,
2014-07,5.944,
