"",BBK01.OEAD18Q,BBK01.OEAD18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:19,
2002-01,0.195,
2002-04,0.196,
2002-07,0.201,
2002-10,0.183,
2003-01,0.184,
2003-04,0.197,
2003-07,0.208,
2003-10,0.170,
2004-01,0.183,
2004-04,0.184,
2004-07,0.187,
2004-10,0.145,
2005-01,0.153,
2005-04,0.138,
2005-07,0.128,
2005-10,0.116,
2006-01,0.103,
2006-04,0.115,
2006-07,0.124,
2006-10,0.106,
2007-01,0.114,
2007-04,0.121,
2007-07,0.126,
2007-10,0.138,
2008-01,0.100,
2008-04,0.106,
2008-07,0.112,
2008-10,0.105,
2009-01,0.114,
2009-04,0.112,
2009-07,0.121,
2009-10,0.114,
2010-01,0.104,
2010-04,0.105,
2010-07,0.080,
2010-10,0.084,
2011-01,0.090,
2011-04,0.084,
2011-07,0.076,
2011-10,0.066,
2012-01,0.078,
2012-04,0.070,
2012-07,0.070,
2012-10,0.067,
2013-01,0.113,
2013-04,0.086,
2013-07,0.081,
2013-10,0.116,
2014-01,0.123,
2014-04,0.110,
2014-07,0.095,
