"",BBK01.OEBB15U,BBK01.OEBB15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:05,
2002-01,0.120,
2002-04,0.121,
2002-07,0.122,
2002-10,0.157,
2003-01,0.161,
2003-04,0.167,
2003-07,0.169,
2003-10,0.171,
2004-01,0.175,
2004-04,0.176,
2004-07,0.175,
2004-10,0.178,
2005-01,0.174,
2005-04,0.187,
2005-07,0.194,
2005-10,0.195,
2006-01,0.196,
2006-04,0.201,
2006-07,0.207,
2006-10,0.213,
2007-01,0.203,
2007-04,0.192,
2007-07,0.182,
2007-10,0.167,
2008-01,0.158,
2008-04,0.154,
2008-07,0.146,
2008-10,0.146,
2009-01,0.142,
2009-04,0.138,
2009-07,0.137,
2009-10,0.135,
2010-01,0.130,
2010-04,0.129,
2010-07,0.127,
2010-10,0.129,
2011-01,0.132,
2011-04,0.135,
2011-07,0.131,
2011-10,0.131,
2012-01,0.141,
2012-04,0.142,
2012-07,0.140,
2012-10,0.134,
2013-01,0.130,
2013-04,0.130,
2013-07,0.126,
2013-10,0.122,
2014-01,0.115,
2014-04,0.103,
2014-07,0.098,
