"",BBK01.OXA8F1,BBK01.OXA8F1_FLAGS
"",Medium-term loans (including bills of exchange) to domestic non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:54,
1999-01,0.527,
1999-02,0.570,
1999-03,0.596,
1999-04,0.600,
1999-05,0.598,
1999-06,0.600,
1999-07,0.634,
1999-08,0.659,
1999-09,0.638,
1999-10,0.645,
1999-11,0.661,
1999-12,0.664,
2000-01,0.668,
2000-02,0.663,
2000-03,0.641,
2000-04,0.690,
2000-05,0.633,
2000-06,0.626,
2000-07,0.612,
2000-08,0.623,
2000-09,0.628,
2000-10,0.633,
2000-11,0.625,
2000-12,0.609,
2001-01,0.618,
2001-02,0.617,
2001-03,0.614,
2001-04,0.605,
2001-05,0.616,
2001-06,0.629,
2001-07,0.601,
2001-08,0.582,
2001-09,0.561,
2001-10,0.581,
2001-11,0.619,
2001-12,0.563,
2002-01,0.565,
2002-02,0.562,
2002-03,0.553,
2002-04,0.577,
2002-05,0.577,
2002-06,0.591,
2002-07,0.582,
2002-08,0.573,
2002-09,0.567,
2002-10,0.555,
2002-11,0.525,
2002-12,0.529,
2003-01,0.510,
2003-02,0.510,
2003-03,0.501,
2003-04,0.518,
2003-05,0.516,
2003-06,0.512,
2003-07,0.517,
2003-08,0.515,
2003-09,0.529,
2003-10,0.541,
2003-11,0.545,
2003-12,0.583,
2004-01,0.574,
2004-02,0.574,
2004-03,0.569,
2004-04,0.561,
2004-05,0.543,
2004-06,0.547,
2004-07,0.525,
2004-08,0.532,
2004-09,0.528,
2004-10,0.576,
2004-11,0.578,
2004-12,0.547,
2005-01,0.518,
2005-02,0.528,
2005-03,0.528,
2005-04,0.524,
2005-05,0.535,
2005-06,0.520,
2005-07,0.547,
2005-08,0.588,
2005-09,0.584,
2005-10,0.585,
2005-11,0.654,
2005-12,0.654,
2006-01,0.649,
2006-02,0.635,
2006-03,0.622,
2006-04,0.620,
2006-05,0.628,
2006-06,0.602,
2006-07,0.600,
2006-08,0.591,
2006-09,0.591,
2006-10,0.580,
2006-11,0.563,
2006-12,0.569,
2007-01,0.575,
2007-02,0.645,
2007-03,0.644,
2007-04,0.649,
2007-05,0.671,
2007-06,0.661,
2007-07,0.700,
2007-08,0.713,
2007-09,0.631,
2007-10,0.609,
2007-11,0.718,
2007-12,0.747,
2008-01,0.689,
2008-02,0.661,
2008-03,0.658,
2008-04,0.656,
2008-05,0.651,
2008-06,0.634,
2008-07,0.624,
2008-08,0.625,
2008-09,0.616,
2008-10,0.621,
2008-11,0.621,
2008-12,0.609,
2009-01,0.544,
2009-02,0.537,
2009-03,0.536,
2009-04,0.527,
2009-05,0.527,
2009-06,0.531,
2009-07,0.535,
2009-08,0.534,
2009-09,0.610,
2009-10,0.614,
2009-11,0.619,
2009-12,0.596,
2010-01,0.607,
2010-02,0.588,
2010-03,0.588,
2010-04,0.502,
2010-05,0.506,
2010-06,0.491,
2010-07,0.517,
2010-08,0.509,
2010-09,0.494,
2010-10,0.499,
2010-11,0.497,
2010-12,0.499,
2011-01,0.544,
2011-02,0.532,
2011-03,0.536,
2011-04,0.551,
2011-05,0.542,
2011-06,0.543,
2011-07,0.554,
2011-08,0.558,
2011-09,0.547,
2011-10,0.559,
2011-11,0.558,
2011-12,0.561,
2012-01,0.569,
2012-02,0.592,
2012-03,0.620,
2012-04,0.621,
2012-05,0.635,
2012-06,0.624,
2012-07,0.516,
2012-08,0.534,
2012-09,0.522,
2012-10,0.513,
2012-11,0.505,
2012-12,0.504,
2013-01,0.508,
2013-02,0.523,
2013-03,0.508,
2013-04,0.505,
2013-05,0.513,
2013-06,0.507,
2013-07,0.511,
2013-08,0.527,
2013-09,0.521,
2013-10,0.526,
2013-11,0.523,
2013-12,0.521,
2014-01,0.500,
2014-02,0.479,
2014-03,0.445,
2014-04,0.495,
2014-05,0.524,
2014-06,0.521,
2014-07,0.519,
2014-08,0.530,
2014-09,0.534,
2014-10,0.544,
2014-11,0.538,
2014-12,0.470,Provisional value
