"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:41,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,10152,
1993-05,10247,
1993-06,10525,
1993-07,10693,
1993-08,11008,
1993-09,11216,
1993-10,11409,
1993-11,11869,
1993-12,13528,
1994-01,14000,
1994-02,14319,
1994-03,14899,
1994-04,14885,
1994-05,15039,
1994-06,15410,
1994-07,15669,
1994-08,16372,
1994-09,17188,
1994-10,17316,
1994-11,17436,
1994-12,18030,
1995-01,18100,
1995-02,18249,
1995-03,18583,
1995-04,18687,
1995-05,18753,
1995-06,19047,
1995-07,19216,
1995-08,19366,
1995-09,19632,
1995-10,19753,
1995-11,19833,
1995-12,20300,
1996-01,20525,
1996-02,21182,
1996-03,21506,
1996-04,21807,
1996-05,22057,
1996-06,22506,
1996-07,22815,
1996-08,23301,
1996-09,24135,
1996-10,24448,
1996-11,25215,
1996-12,26173,
1997-01,26471,
1997-02,26822,
1997-03,27112,
1997-04,27451,
1997-05,27668,
1997-06,28274,
1997-07,28687,
1997-08,28745,
1997-09,28937,
1997-10,29267,
1997-11,29736,
1997-12,30627,
1998-01,31146,
1998-02,31872,
1998-03,32386,
1998-04,32609,
1998-05,32722,
1998-06,33140,
1998-07,33218,
1998-08,33298,
1998-09,32963,
1998-10,32978,
1998-11,33378,
1998-12,34201,
1999-01,34600,
1999-02,34860,
1999-03,35171,
1999-04,35534,
1999-05,36036,
1999-06,36478,
1999-07,36997,
1999-08,37292,
1999-09,38294,
1999-10,38988,
1999-11,39895,
1999-12,41866,
2000-01,42478,
2000-02,42665,
2000-03,43302,
2000-04,44223,
2000-05,44242,
2000-06,44665,
2000-07,45346,
2000-08,45636,
2000-09,46539,
2000-10,47099,
2000-11,47380,
2000-12,48009,
2001-01,48220,
2001-02,50646,
2001-03,51272,
2001-04,51620,
2001-05,52358,
2001-06,52772,
2001-07,52805,
2001-08,53207,
2001-09,54044,
2001-10,54704,
2001-11,55066,
2001-12,56526,
2002-01,56955,
2002-02,57294,
2002-03,57912,
2002-04,58384,
2002-05,59428,
2002-06,60113,
2002-07,62179,
2002-08,63030,
2002-09,63935,
2002-10,64541,
2002-11,65510,
2002-12,68087,
2003-01,68743,
2003-02,68867,
2003-03,70305,
2003-04,71693,
2003-05,72396,
2003-06,74108,
2003-07,74954,
2003-08,76125,
2003-09,77423,
2003-10,79259,
2003-11,80065,
2003-12,82994,
2004-01,83842,
2004-02,84997,
2004-03,85058,
2004-04,84965,
2004-05,85215,
2004-06,85849,
2004-07,87065,
2004-08,87634,
2004-09,87651,
2004-10,88025,
2004-11,88515,
2004-12,89413,
2005-01,89809,
2005-02,90247,
2005-03,92209,
2005-04,92828,
2005-05,92441,
2005-06,93150,
2005-07,92799,
2005-08,92888,
2005-09,93353,
2005-10,93175,
2005-11,93199,
2005-12,92692,
2006-01,93061,
2006-02,92931,
2006-03,90929,
2006-04,90730,
2006-05,90762,
2006-06,90084,
2006-07,90209,
2006-08,89915,
2006-09,88513,
2006-10,87960,
2006-11,88246,
2006-12,87250,
2007-01,86760,
2007-02,85618,
2007-03,85409,
2007-04,85107,
2007-05,84833,
2007-06,85858,
2007-07,86494,
2007-08,84525,
2007-09,81820,
2007-10,81285,
2007-11,81289,
2007-12,82576,
2008-01,82382,
2008-02,82217,
2008-03,82464,
2008-04,83069,
2008-05,84268,
2008-06,84798,
2008-07,85263,
2008-08,85400,
2008-09,87160,
2008-10,88376,
2008-11,88878,
2008-12,86946,
2009-01,87394,
2009-02,87895,
2009-03,87605,
2009-04,88176,
2009-05,88956,
2009-06,89430,
2009-07,89898,
2009-08,89983,
2009-09,90003,
2009-10,90256,
2009-11,90280,
2009-12,91714,
2010-01,92909,
2010-02,92892,
2010-03,93299,
2010-04,93705,
2010-05,94141,
2010-06,94710,
2010-07,94340,
2010-08,94647,
2010-09,94009,
2010-10,94195,
2010-11,94684,
2010-12,94052,
2011-01,94039,
2011-02,94340,
2011-03,93854,
2011-04,93639,
2011-05,93818,
2011-06,93724,
2011-07,94487,
2011-08,94642,
2011-09,94746,
2011-10,94585,
2011-11,95237,
2011-12,94995,
2012-01,95093,
2012-02,94867,
2012-03,95079,
2012-04,94997,
2012-05,94933,
2012-06,95310,
2012-07,96160,
2012-08,95961,
2012-09,95936,
2012-10,96557,
2012-11,96139,
2012-12,96695,
2013-01,96844,
2013-02,96962,
2013-03,96838,
2013-04,96739,
2013-05,96597,
2013-06,96044,
2013-07,95803,
2013-08,95948,
2013-09,95340,
2013-10,95145,
2013-11,96565,
2013-12,97653,
2014-01,98207,
2014-02,98107,
2014-03,98418,
2014-04,99311,
2014-05,99384,
2014-06,99647,
2014-07,99884,
2014-08,99953,
2014-09,100340,
2014-10,99489,
2014-11,99875,
