"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:03,
2009-09,90,
2009-10,87,
2009-11,87,
2009-12,90,
2010-01,91,
2010-02,90,
2010-03,84,
2010-04,86,
2010-05,83,
2010-06,79,
2010-07,85,
2010-08,80,
2010-09,84,
2010-10,78,
2010-11,79,
2010-12,80,
2011-01,79,
2011-02,76,
2011-03,84,
2011-04,90,
2011-05,91,
2011-06,94,
2011-07,98,
2011-08,174,
2011-09,85,
2011-10,79,
2011-11,76,
2011-12,86,
2012-01,70,
2012-02,78,
2012-03,71,
2012-04,66,
2012-05,64,
2012-06,66,
2012-07,66,
2012-08,76,
2012-09,70,
2012-10,68,
2012-11,61,
2012-12,58,
2013-01,54,
2013-02,52,
2013-03,50,
2013-04,49,
2013-05,48,
2013-06,45,
2013-07,47,
2013-08,47,
2013-09,61,
2013-10,72,
2013-11,70,
2013-12,68,
2014-01,67,
2014-02,72,
2014-03,75,
2014-04,77,
2014-05,73,
2014-06,72,
2014-07,72,
2014-08,75,
2014-09,85,
2014-10,79,
2014-11,91,
