"",BBSF2.M.1.P.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Bonds funds / Long-term debt securities / Germany,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:32,
1970-06,-,Nothing exists
1970-07,978,
1970-08,1018,
1970-09,1037,
1970-10,1050,
1970-11,1072,
1970-12,1161,
1971-01,1221,
1971-02,1216,
1971-03,1221,
1971-04,1233,
1971-05,1242,
1971-06,1217,
1971-07,1253,
1971-08,1282,
1971-09,1325,
1971-10,1378,
1971-11,1405,
1971-12,1475,
1972-01,1564,
1972-02,1673,
1972-03,1701,
1972-04,1719,
1972-05,1747,
1972-06,1771,
1972-07,1920,
1972-08,2090,
1972-09,2179,
1972-10,2204,
1972-11,2194,
1972-12,2256,
1973-01,2275,
1973-02,2375,
1973-03,2425,
1973-04,2430,
1973-05,2323,
1973-06,2271,
1973-07,2276,
1973-08,2345,
1973-09,2398,
1973-10,2426,
1973-11,2495,
1973-12,2493,
1974-01,2450,
1974-02,2367,
1974-03,2209,
1974-04,2209,
1974-05,2172,
1974-06,2153,
1974-07,2129,
1974-08,2167,
1974-09,2160,
1974-10,2135,
1974-11,2197,
1974-12,2280,
1975-01,2347,
1975-02,2432,
1975-03,2450,
1975-04,2502,
1975-05,2508,
1975-06,2549,
1975-07,2478,
1975-08,2449,
1975-09,2435,
1975-10,2432,
1975-11,2489,
1975-12,2540,
1976-01,2623,
1976-02,2741,
1976-03,2886,
1976-04,2968,
1976-05,2897,
1976-06,2941,
1976-07,2988,
1976-08,3128,
1976-09,3247,
1976-10,3378,
1976-11,3685,
1976-12,3858,
1977-01,4059,
1977-02,4265,
1977-03,4643,
1977-04,4862,
1977-05,4907,
1977-06,5076,
1977-07,5381,
1977-08,5633,
1977-09,5771,
1977-10,5974,
1977-11,6183,
1977-12,6460,
1978-01,7062,
1978-02,7596,
1978-03,7909,
1978-04,8063,
1978-05,7873,
1978-06,7904,
1978-07,7588,
1978-08,7849,
1978-09,8135,
1978-10,7970,
1978-11,7943,
1978-12,8069,
1979-01,8140,
1979-02,8096,
1979-03,8227,
1979-04,8180,
1979-05,8156,
1979-06,8147,
1979-07,8181,
1979-08,8658,
1979-09,8691,
1979-10,8476,
1979-11,8752,
1979-12,8963,
1980-01,8705,
1980-02,8312,
1980-03,7964,
1980-04,8305,
1980-05,8643,
1980-06,8750,
1980-07,8889,
1980-08,8828,
1980-09,8550,
1980-10,8253,
1980-11,7892,
1980-12,7788,
1981-01,7468,
1981-02,6910,
1981-03,6949,
1981-04,6751,
1981-05,6420,
1981-06,6411,
1981-07,6265,
1981-08,6089,
1981-09,6100,
1981-10,6159,
1981-11,6370,
1981-12,6418,
1982-01,6357,
1982-02,6172,
1982-03,6235,
1982-04,6213,
1982-05,6060,
1982-06,5861,
1982-07,5977,
1982-08,6163,
1982-09,6343,
1982-10,6318,
1982-11,6298,
1982-12,6673,
1983-01,6675,
1983-02,6800,
1983-03,7093,
1983-04,7105,
1983-05,7002,
1983-06,6864,
1983-07,6834,
1983-08,6726,
1983-09,6725,
1983-10,6774,
1983-11,6736,
1983-12,6771,
1984-01,6873,
1984-02,6924,
