"",BBFN1.M.DE.N.1.A.BM.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BM.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:09,
1982-09,0.003,
1982-10,0.003,
1982-11,0.003,
1982-12,0.004,
1983-01,0.004,
1983-02,0.004,
1983-03,0.004,
1983-04,0.004,
1983-05,0.005,
1983-06,0.005,
1983-07,0.004,
1983-08,0.005,
1983-09,0.005,
1983-10,0.005,
1983-11,0.004,
1983-12,0.119,
1984-01,0.134,
1984-02,0.134,
1984-03,0.199,
1984-04,0.200,
1984-05,0.200,
1984-06,0.199,
1984-07,0.007,
1984-08,0.007,
1984-09,0.007,
1984-10,0.006,
1984-11,0.007,
1984-12,0.007,
1985-01,0.007,
1985-02,0.009,
1985-03,0.007,
1985-04,0.008,
1985-05,0.035,
1985-06,0.168,
1985-07,0.037,
1985-08,0.039,
1985-09,0.038,
1985-10,0.046,
1985-11,0.041,
1985-12,0.040,
1986-01,0.037,
1986-02,0.036,
1986-03,.,No value available
1986-04,0.050,
1986-05,0.051,
1986-06,0.049,
1986-07,0.050,
1986-08,0.051,
1986-09,.,No value available
1986-10,.,No value available
1986-11,.,No value available
1986-12,0.005,
1987-01,.,No value available
1987-02,.,No value available
1987-03,.,No value available
1987-04,0.026,
1987-05,.,No value available
1987-06,0.026,
1987-07,0.038,
1987-08,0.039,
1987-09,0.031,
1987-10,0.037,
1987-11,0.027,
1987-12,0.026,
1988-01,0.032,
1988-02,0.034,
1988-03,0.038,
1988-04,0.035,
1988-05,0.034,
1988-06,0.088,
1988-07,0.081,
1988-08,0.082,
1988-09,0.095,
1988-10,0.094,
1988-11,0.094,
1988-12,0.094,
1989-01,0.096,
1989-02,0.096,
1989-03,0.096,
1989-04,0.096,
1989-05,0.094,
1989-06,0.078,
1989-07,0.082,
1989-08,0.081,
1989-09,0.079,
1989-10,0.079,
1989-11,0.075,
1989-12,0.076,
1990-01,0.066,
1990-02,0.072,
1990-03,0.075,
1990-04,0.067,
1990-05,0.063,
1990-06,0.060,
1990-07,0.059,
1990-08,0.059,
1990-09,0.059,
1990-10,.,No value available
1990-11,.,No value available
1990-12,0.020,
1991-01,0.022,
1991-02,0.021,
1991-03,0.025,
1991-04,0.025,
1991-05,0.026,
1991-06,0.039,
1991-07,0.038,
1991-08,0.024,
1991-09,0.026,
1991-10,0.050,
1991-11,0.051,
1991-12,0.037,
1992-01,0.038,
1992-02,0.043,
1992-03,0.040,
1992-04,0.041,
1992-05,0.042,
1992-06,0.042,
1992-07,0.043,
1992-08,0.040,
1992-09,0.042,
1992-10,0.040,
1992-11,0.046,
1992-12,0.046,
1993-01,0.061,
1993-02,0.045,
1993-03,0.043,
1993-04,0.068,
1993-05,0.051,
1993-06,0.046,
1993-07,0.052,
1993-08,0.047,
1993-09,0.046,
1993-10,0.045,
1993-11,0.047,
1993-12,0.056,
1994-01,0.082,
1994-02,0.082,
1994-03,0.080,
1994-04,0.078,
1994-05,0.079,
1994-06,0.225,
1994-07,0.205,
1994-08,0.200,
1994-09,0.194,
1994-10,0.194,
1994-11,0.208,
1994-12,0.215,
1995-01,0.193,
1995-02,0.188,
1995-03,0.166,
1995-04,0.162,
1995-05,0.682,
1995-06,0.424,
1995-07,0.889,
1995-08,0.909,
1995-09,0.846,
1995-10,0.461,
1995-11,0.200,
1995-12,0.221,
1996-01,0.194,
1996-02,0.283,
1996-03,0.280,
1996-04,0.462,
1996-05,0.450,
1996-06,0.360,
1996-07,0.225,
1996-08,0.171,
1996-09,0.172,
1996-10,0.158,
1996-11,0.165,
1996-12,0.362,
1997-01,0.120,
1997-02,0.159,
1997-03,0.323,
1997-04,0.311,
1997-05,0.220,
1997-06,0.402,
1997-07,0.288,
1997-08,0.139,
1997-09,0.369,
1997-10,0.418,
1997-11,0.376,
1997-12,0.715,
1998-01,0.604,
1998-02,0.845,
1998-03,0.889,
1998-04,0.788,
1998-05,0.868,
1998-06,0.995,
1998-07,0.725,
1998-08,0.577,
1998-09,0.953,
1998-10,1.044,
1998-11,1.215,
1998-12,1.067,
1999-01,1.067,
1999-02,0.878,
1999-03,1.116,
1999-04,1.025,
1999-05,0.863,
1999-06,1.077,
1999-07,1.233,
1999-08,1.168,
1999-09,1.457,
1999-10,1.445,
1999-11,1.428,
1999-12,1.086,
2000-01,1.183,
2000-02,1.169,
2000-03,1.172,
2000-04,0.877,
2000-05,1.039,
2000-06,1.166,
2000-07,0.826,
2000-08,1.131,
2000-09,0.826,
2000-10,1.669,
2000-11,1.563,
2000-12,1.495,
2001-01,1.316,
2001-02,2.119,
2001-03,1.968,
2001-04,2.060,
2001-05,1.930,
2001-06,1.285,
2001-07,0.820,
2001-08,1.130,
2001-09,1.319,
2001-10,1.414,
2001-11,1.165,
2001-12,3.387,
2002-01,2.543,
2002-02,1.075,
2002-03,0.831,
2002-04,1.099,
2002-05,0.997,
2002-06,1.271,
2002-07,0.836,
2002-08,0.666,
2002-09,1.177,
2002-10,0.814,
2002-11,0.884,
2002-12,0.828,
2003-01,0.644,
2003-02,0.794,
2003-03,0.928,
2003-04,0.725,
2003-05,0.772,
2003-06,0.510,
2003-07,0.581,
2003-08,0.553,
2003-09,0.876,
2003-10,1.319,
2003-11,1.036,
2003-12,0.506,
2004-01,0.508,
2004-02,0.833,
2004-03,0.585,
2004-04,0.398,
2004-05,0.498,
2004-06,0.563,
2004-07,0.571,
2004-08,0.438,
2004-09,0.380,
2004-10,0.764,
2004-11,0.596,
2004-12,1.103,
2005-01,0.902,
2005-02,1.081,
2005-03,0.646,
2005-04,0.648,
2005-05,0.720,
2005-06,0.729,
2005-07,0.716,
2005-08,0.954,
2005-09,0.608,
2005-10,1.108,
2005-11,1.125,
2005-12,0.973,
2006-01,0.981,
2006-02,1.081,
2006-03,0.986,
2006-04,1.008,
2006-05,0.933,
2006-06,0.964,
2006-07,0.951,
2006-08,0.886,
2006-09,0.924,
2006-10,0.882,
2006-11,0.962,
2006-12,0.938,
2007-01,0.598,
2007-02,0.627,
2007-03,0.523,
2007-04,0.584,
2007-05,0.475,
2007-06,0.698,
2007-07,0.657,
