"",BBK01.OEYO04M,BBK01.OEYO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:12,
2002-01,-0.072,
2002-04,-0.071,
2002-07,-0.043,
2002-10,-0.008,
2003-01,-0.013,
2003-04,-0.034,
2003-07,-0.062,
2003-10,-0.022,
2004-01,-0.019,
2004-04,-0.054,
2004-07,-0.039,
2004-10,-0.059,
2005-01,-0.034,
2005-04,-0.037,
2005-07,-0.030,
2005-10,-0.031,
2006-01,-0.041,
2006-04,-0.050,
2006-07,-0.086,
2006-10,-0.050,
2007-01,-0.019,
2007-04,-0.011,
2007-07,-0.064,
2007-10,-0.061,
2008-01,-0.063,
2008-04,-0.036,
2008-07,-0.049,
2008-10,0.263,
2009-01,-0.035,
2009-04,-0.011,
2009-07,-0.091,
2009-10,-0.158,
2010-01,0.008,
2010-04,-0.014,
2010-07,-0.003,
2010-10,-0.010,
2011-01,-0.007,
2011-04,0.015,
2011-07,-0.008,
2011-10,-0.018,
2012-01,-0.023,
2012-04,-0.029,
2012-07,-0.039,
2012-10,-0.076,
2013-01,0.525,
2013-04,0.017,
2013-07,-0.004,
2013-10,-0.001,
2014-01,-0.062,
2014-04,-0.054,
2014-07,-0.022,
