"",BBK01.OEYL03M,BBK01.OEYL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:09,
2002-01,16.662,
2002-04,16.644,
2002-07,16.697,
2002-10,17.253,
2003-01,17.498,
2003-04,17.572,
2003-07,17.747,
2003-10,18.366,
2004-01,18.622,
2004-04,18.764,
2004-07,18.836,
2004-10,19.436,
2005-01,19.663,
2005-04,19.837,
2005-07,20.516,
2005-10,21.076,
2006-01,21.256,
2006-04,21.262,
2006-07,21.081,
2006-10,21.378,
2007-01,21.379,
2007-04,21.268,
2007-07,21.030,
2007-10,21.308,
2008-01,21.233,
2008-04,21.056,
2008-07,20.645,
2008-10,20.638,
2009-01,20.425,
2009-04,20.424,
2009-07,20.357,
2009-10,20.886,
2010-01,21.102,
2010-04,21.262,
2010-07,21.372,
2010-10,21.832,
2011-01,22.012,
2011-04,22.155,
2011-07,22.199,
2011-10,22.633,
2012-01,22.699,
2012-04,22.724,
2012-07,22.604,
2012-10,23.056,
2013-01,23.038,
2013-04,22.986,
2013-07,23.037,
2013-10,23.332,
2014-01,23.395,
2014-04,23.347,
2014-07,23.276,
