"",BBK01.CEF20M,BBK01.CEF20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:23,
1999-01,42.8,
1999-04,43.2,
1999-07,41.5,
1999-10,41.5,
2000-01,42.4,
2000-04,44.0,
2000-07,43.3,
2000-10,43.7,
2001-01,45.5,
2001-04,45.9,
2001-07,45.4,
2001-10,45.9,
2002-01,45.3,
2002-04,45.6,
2002-07,45.4,
2002-10,46.4,
2003-01,47.3,
2003-04,48.2,
2003-07,47.0,
2003-10,45.9,
2004-01,46.4,
2004-04,46.3,
2004-07,45.7,
2004-10,46.8,
2005-01,47.3,
2005-04,47.1,
2005-07,47.8,
2005-10,46.9,
2006-01,47.3,
2006-04,47.7,
2006-07,47.7,
2006-10,47.4,
2007-01,49.1,
2007-04,50.4,
2007-07,51.0,
2007-10,52.3,
2008-01,54.2,
2008-04,55.7,
2008-07,52.3,
2008-10,53.3,
2009-01,53.1,
2009-04,53.1,
2009-07,52.8,
2009-10,52.1,
2010-01,53.4,
2010-04,56.1,
2010-07,55.5,
2010-10,54.7,
2011-01,55.4,
2011-04,56.3,
2011-07,56.6,
2011-10,56.0,
2012-01,59.5,
2012-04,59.1,
2012-07,59.2,
2012-10,58.1,
2013-01,60.5,
2013-04,60.1,
2013-07,59.6,
2013-10,57.5,
2014-01,59.8,
2014-04,61.8,
2014-07,62.3,
