"",BBK01.QUW059,BBK01.QUW059_FLAGS
"",Banks in Germany: Long-term liabilities to non-residents / International organisations / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:29:07,
2001-12,0.996,
2002-01,1.121,
2002-02,1.121,
2002-03,1.121,
2002-04,1.121,
2002-05,1.174,
2002-06,1.200,
2002-07,1.202,
2002-08,1.201,
2002-09,1.200,
2002-10,1.150,
2002-11,1.169,
2002-12,1.039,
2003-01,1.037,
2003-02,1.037,
2003-03,1.037,
2003-04,1.036,
2003-05,1.032,
2003-06,1.160,
2003-07,1.211,
2003-08,1.214,
2003-09,1.288,
2003-10,1.325,
2003-11,1.199,
2003-12,1.196,
2004-01,1.181,
2004-02,1.180,
2004-03,1.192,
2004-04,1.192,
2004-05,1.151,
2004-06,1.150,
2004-07,1.149,
2004-08,1.151,
2004-09,1.188,
2004-10,1.188,
2004-11,1.205,
2004-12,1.205,
2005-01,1.243,
2005-02,1.243,
2005-03,1.270,
2005-04,1.244,
2005-05,1.242,
2005-06,1.213,
2005-07,1.213,
2005-08,1.281,
2005-09,1.156,
2005-10,1.151,
2005-11,1.192,
2005-12,1.162,
2006-01,1.172,
2006-02,1.182,
2006-03,1.271,
2006-04,1.154,
2006-05,1.157,
2006-06,1.124,
2006-07,1.068,
2006-08,1.170,
2006-09,1.140,
2006-10,1.056,
2006-11,1.074,
2006-12,1.089,
2007-01,1.079,
2007-02,1.085,
2007-03,1.068,
2007-04,1.066,
2007-05,0.947,
2007-06,0.986,
2007-07,0.984,
2007-08,0.990,
2007-09,0.986,
2007-10,0.984,
2007-11,0.981,
2007-12,1.067,
2008-01,1.066,
2008-02,1.064,
2008-03,1.061,
2008-04,1.104,
2008-05,1.085,
2008-06,1.066,
2008-07,1.066,
2008-08,1.066,
2008-09,1.067,
2008-10,1.102,
2008-11,1.135,
2008-12,1.036,
2009-01,1.017,
2009-02,0.858,
2009-03,0.837,
2009-04,0.795,
2009-05,0.764,
2009-06,0.794,
2009-07,0.798,
2009-08,0.672,
2009-09,0.627,
2009-10,0.594,
2009-11,0.586,
2009-12,0.700,
2010-01,0.751,
2010-02,0.780,
2010-03,0.758,
2010-04,0.787,
2010-05,0.792,
2010-06,0.846,
2010-07,0.876,
2010-08,0.820,
2010-09,0.821,
2010-10,0.828,
2010-11,0.738,
2010-12,0.766,
2011-01,0.853,
2011-02,0.867,
2011-03,0.836,
2011-04,0.836,
2011-05,0.828,
2011-06,0.842,
2011-07,0.840,
2011-08,0.843,
2011-09,0.855,
2011-10,0.858,
2011-11,0.832,
2011-12,0.833,
2012-01,0.834,
2012-02,0.839,
2012-03,0.833,
2012-04,0.834,
2012-05,0.812,
2012-06,0.810,
2012-07,0.809,
2012-08,0.790,
2012-09,0.784,
2012-10,0.785,
2012-11,0.774,
2012-12,0.738,
2013-01,0.705,
2013-02,0.700,
2013-03,0.718,
2013-04,0.733,
2013-05,0.707,
2013-06,0.666,
2013-07,0.649,
2013-08,0.644,
2013-09,0.636,
2013-10,0.634,
2013-11,0.636,
2013-12,0.780,
2014-01,0.778,
2014-02,0.759,
2014-03,0.779,
2014-04,0.804,
2014-05,0.811,
2014-06,0.805,
2014-07,0.788,
2014-08,0.787,
2014-09,0.785,
2014-10,0.791,
2014-11,0.785,
2014-12,0.778,
