"",BBK01.OEAA53J,BBK01.OEAA53J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:51,
2002-01,5.505,
2002-04,4.976,
2002-07,5.051,
2002-10,4.858,
2003-01,4.784,
2003-04,4.768,
2003-07,4.738,
2003-10,4.516,
2004-01,4.730,
2004-04,4.983,
2004-07,5.040,
2004-10,4.650,
2005-01,4.837,
2005-04,5.344,
2005-07,5.816,
2005-10,6.056,
2006-01,6.097,
2006-04,6.200,
2006-07,6.375,
2006-10,5.322,
2007-01,5.431,
2007-04,5.944,
2007-07,6.078,
2007-10,6.018,
2008-01,5.984,
2008-04,6.474,
2008-07,7.536,
2008-10,8.019,
2009-01,8.228,
2009-04,7.923,
2009-07,7.690,
2009-10,7.610,
2010-01,7.922,
2010-04,10.012,
2010-07,8.916,
2010-10,8.246,
2011-01,7.722,
2011-04,7.621,
2011-07,8.045,
2011-10,8.236,
2012-01,7.329,
2012-04,7.610,
2012-07,7.132,
2012-10,2.206,
2013-01,2.184,
2013-04,2.040,
2013-07,2.157,
2013-10,2.137,
2014-01,2.099,
2014-04,2.021,
2014-07,2.058,
