"",BBK01.OEAH27L,BBK01.OEAH27L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:13,
2002-01,8.693,
2002-04,8.358,
2002-07,8.410,
2002-10,8.385,
2003-01,8.035,
2003-04,7.614,
2003-07,7.424,
2003-10,7.717,
2004-01,7.744,
2004-04,7.405,
2004-07,7.296,
2004-10,7.589,
2005-01,7.572,
2005-04,7.269,
2005-07,7.067,
2005-10,6.961,
2006-01,6.890,
2006-04,7.214,
2006-07,7.707,
2006-10,8.437,
2007-01,9.000,
2007-04,9.044,
2007-07,9.018,
2007-10,9.014,
2008-01,8.306,
2008-04,7.674,
2008-07,7.431,
2008-10,8.332,
2009-01,8.624,
2009-04,9.221,
2009-07,9.769,
2009-10,10.237,
2010-01,10.122,
2010-04,9.254,
2010-07,8.325,
2010-10,7.964,
2011-01,7.698,
2011-04,7.509,
2011-07,7.327,
2011-10,7.137,
2012-01,6.778,
2012-04,6.477,
2012-07,5.939,
2012-10,5.568,
2013-01,5.131,
2013-04,4.782,
2013-07,4.563,
2013-10,4.646,
2014-01,4.738,
2014-04,4.772,
2014-07,4.932,
