"",BBK01.OELB18K,BBK01.OELB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:52,
2002-01,0.106,
2002-04,0.104,
2002-07,0.103,
2002-10,0.125,
2003-01,0.117,
2003-04,0.108,
2003-07,0.095,
2003-10,0.085,
2004-01,0.091,
2004-04,0.091,
2004-07,0.094,
2004-10,0.093,
2005-01,0.094,
2005-04,0.091,
2005-07,0.097,
2005-10,0.094,
2006-01,0.089,
2006-04,0.111,
2006-07,0.114,
2006-10,0.080,
2007-01,0.082,
2007-04,0.079,
2007-07,0.076,
2007-10,0.071,
2008-01,0.076,
2008-04,0.076,
2008-07,0.083,
2008-10,0.086,
2009-01,0.084,
2009-04,0.083,
2009-07,0.084,
2009-10,0.085,
2010-01,0.083,
2010-04,0.093,
2010-07,0.098,
2010-10,0.113,
2011-01,0.114,
2011-04,0.109,
2011-07,0.115,
2011-10,0.113,
2012-01,0.109,
2012-04,0.119,
2012-07,0.133,
2012-10,0.144,
2013-01,0.132,
2013-04,0.124,
2013-07,0.131,
2013-10,0.131,
2014-01,0.134,
2014-04,0.117,
2014-07,0.117,
