"",BBFN1.M.DE.N.1.A.JE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Jersey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:59,
2002-12,0.000,
2003-01,-,Nothing exists
2003-02,0.020,
2003-03,0.020,
2003-04,0.020,
2003-05,0.020,
2003-06,0.020,
2003-07,0.020,
2003-08,0.020,
2003-09,0.022,
2003-10,0.022,
2003-11,0.022,
2003-12,0.022,
2004-01,0.022,
2004-02,0.022,
2004-03,0.022,
2004-04,0.022,
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,.,No value available
2004-12,.,No value available
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,.,No value available
2005-09,.,No value available
2005-10,.,No value available
2005-11,.,No value available
2005-12,0.039,
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,.,No value available
2006-07,.,No value available
2006-08,.,No value available
2006-09,.,No value available
2006-10,.,No value available
2006-11,.,No value available
2006-12,.,No value available
2007-01,.,No value available
2007-02,.,No value available
2007-03,.,No value available
2007-04,.,No value available
2007-05,.,No value available
2007-06,.,No value available
2007-07,.,No value available
2007-08,.,No value available
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,0.144,
2008-03,0.144,
2008-04,0.143,
2008-05,0.143,
2008-06,0.142,
2008-07,0.142,
2008-08,0.143,
2008-09,0.143,
2008-10,0.143,
2008-11,0.143,
2008-12,0.143,
2009-01,0.143,
2009-02,0.142,
2009-03,0.142,
2009-04,0.142,
2009-05,0.142,
2009-06,0.142,
2009-07,0.143,
2009-08,0.144,
2009-09,0.146,
2009-10,0.146,
2009-11,0.146,
2009-12,0.146,
2010-01,0.147,
2010-02,0.148,
2010-03,0.148,
2010-04,0.148,
2010-05,0.187,
2010-06,0.186,
2010-07,0.219,
2010-08,0.237,
2010-09,0.234,
2010-10,0.284,
2010-11,0.286,
2010-12,0.285,
2011-01,0.285,
2011-02,0.286,
2011-03,0.284,
2011-04,0.283,
2011-05,0.284,
2011-06,0.280,
2011-07,0.281,
2011-08,0.276,
2011-09,0.277,
2011-10,0.276,
2011-11,0.278,
2011-12,0.280,
2012-01,0.281,
2012-02,0.280,
2012-03,0.281,
2012-04,0.282,
2012-05,0.283,
2012-06,0.284,
2012-07,0.285,
2012-08,0.286,
2012-09,0.285,
2012-10,0.286,
2012-11,0.285,
2012-12,0.255,
2013-01,0.252,
2013-02,0.252,
2013-03,0.253,
2013-04,0.223,
2013-05,0.219,
2013-06,0.217,
2013-07,0.173,
2013-08,0.174,
2013-09,0.175,
2013-10,0.153,
2013-11,0.155,
2013-12,0.156,
2014-01,0.157,
2014-02,0.157,
2014-03,0.157,
2014-04,0.157,
2014-05,0.158,
2014-06,0.159,
2014-07,0.159,
2014-08,0.159,
2014-09,0.159,
2014-10,0.159,
2014-11,0.209,
2014-12,0.211,
