"",BBK01.OEAC30M,BBK01.OEAC30M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:45,
2002-01,1.750,
2002-04,1.737,
2002-07,1.700,
2002-10,1.592,
2003-01,1.704,
2003-04,1.670,
2003-07,1.624,
2003-10,1.468,
2004-01,1.510,
2004-04,1.489,
2004-07,1.442,
2004-10,1.302,
2005-01,1.409,
2005-04,1.342,
2005-07,1.328,
2005-10,1.201,
2006-01,1.329,
2006-04,1.290,
2006-07,1.280,
2006-10,1.139,
2007-01,1.222,
2007-04,1.253,
2007-07,1.255,
2007-10,1.112,
2008-01,1.198,
2008-04,1.186,
2008-07,1.141,
2008-10,1.058,
2009-01,1.141,
2009-04,1.113,
2009-07,1.029,
2009-10,0.952,
2010-01,1.046,
2010-04,1.050,
2010-07,1.047,
2010-10,0.894,
2011-01,0.977,
2011-04,0.970,
2011-07,0.958,
2011-10,0.837,
2012-01,0.972,
2012-04,0.947,
2012-07,0.926,
2012-10,0.860,
2013-01,0.967,
2013-04,0.928,
2013-07,0.927,
2013-10,0.817,
2014-01,0.858,
2014-04,0.885,
2014-07,0.858,
