"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:40,
1991-01,936.985,
1991-04,459.897,
1991-07,-486.770,
1991-10,328.646,
1992-01,787.563,
1992-04,306.832,
1992-07,12.276,
1992-10,679.463,
1993-01,766.306,
1993-04,549.532,
1993-07,431.656,
1993-10,771.923,
1994-01,620.487,
1994-04,516.438,
1994-07,652.724,
1994-10,834.361,
1995-01,1236.783,
1995-04,645.869,
1995-07,1543.515,
1995-10,-621.066,
1996-01,3677.195,
1996-04,1661.638,
1996-07,1633.722,
1996-10,19.226,
1997-01,4722.274,
1997-04,4590.386,
1997-07,4460.482,
1997-10,325.921,
1998-01,5393.478,
1998-04,8786.669,
1998-07,1402.808,
1998-10,-4446.082,
1999-01,3422.856,
1999-04,5765.804,
1999-07,3613.253,
1999-10,5030.585,
2000-01,13053.389,
2000-04,8206.237,
2000-07,5739.321,
2000-10,-1423.089,
2001-01,6192.500,
2001-04,8633.744,
2001-07,-3361.813,
2001-10,17001.069,
2002-01,-501.465,
2002-04,1407.600,
2002-07,-1060.426,
2002-10,3011.144,
2003-01,-2257.672,
2003-04,8683.177,
2003-07,-2436.737,
2003-10,2317.429,
2004-01,2443.986,
2004-04,743.266,
2004-07,-78.124,
2004-10,1843.309,
2005-01,5621.140,
2005-04,-1247.470,
2005-07,3797.749,
2005-10,8762.020,
2006-01,6267.343,
2006-04,978.471,
2006-07,5327.551,
2006-10,7799.928,
2007-01,14050.244,
2007-04,10814.862,
2007-07,8909.788,
2007-10,12557.924,
2008-01,270.084,
2008-04,-13737.224,
2008-07,1363.373,
2008-10,-7554.617,
2009-01,2153.495,
2009-04,5188.273,
2009-07,-2698.994,
2009-10,-2318.967,
2010-01,-4463.351,
2010-04,-3145.534,
2010-07,-248.696,
2010-10,22347.874,
2011-01,-1064.741,
2011-04,-1109.464,
2011-07,-3040.151,
2011-10,175.149,
2012-01,-3106.154,
2012-04,-4366.600,
2012-07,1792.350,
2012-10,5995.120,
2013-01,4971.615,
2013-04,3571.427,
2013-07,7138.515,
2013-10,486.413,
2014-01,1878.218,Provisional value
2014-04,4560.733,Provisional value
2014-07,5351.657,Provisional value
2014-10,5570.352,Provisional value
