"",BBK01.OEAH61U,BBK01.OEAH61U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:32,
2002-01,0.089,
2002-04,0.084,
2002-07,0.081,
2002-10,0.095,
2003-01,0.092,
2003-04,0.089,
2003-07,0.083,
2003-10,0.084,
2004-01,0.088,
2004-04,0.085,
2004-07,0.090,
2004-10,0.092,
2005-01,0.158,
2005-04,0.160,
2005-07,0.159,
2005-10,0.168,
2006-01,0.176,
2006-04,0.187,
2006-07,0.190,
2006-10,0.197,
2007-01,0.212,
2007-04,0.208,
2007-07,0.220,
2007-10,0.252,
2008-01,0.261,
2008-04,0.248,
2008-07,0.288,
2008-10,0.296,
2009-01,0.252,
2009-04,0.252,
2009-07,0.261,
2009-10,0.255,
2010-01,0.245,
2010-04,0.248,
2010-07,0.241,
2010-10,0.234,
2011-01,0.243,
2011-04,0.242,
2011-07,0.232,
2011-10,0.252,
2012-01,0.256,
2012-04,0.232,
2012-07,0.205,
2012-10,0.191,
2013-01,0.169,
2013-04,0.166,
2013-07,0.158,
2013-10,0.177,
2014-01,0.167,
2014-04,0.159,
2014-07,0.156,
