"",BBK01.OEHB23H,BBK01.OEHB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:18,
2002-01,0.118,
2002-04,0.122,
2002-07,0.145,
2002-10,0.152,
2003-01,0.188,
2003-04,0.226,
2003-07,0.259,
2003-10,0.281,
2004-01,0.294,
2004-04,0.292,
2004-07,0.286,
2004-10,0.258,
2005-01,0.259,
2005-04,0.260,
2005-07,0.267,
2005-10,0.299,
2006-01,0.291,
2006-04,0.277,
2006-07,0.289,
2006-10,0.303,
2007-01,0.327,
2007-04,0.312,
2007-07,0.324,
2007-10,0.303,
2008-01,0.229,
2008-04,0.195,
2008-07,0.206,
2008-10,0.193,
2009-01,0.159,
2009-04,0.164,
2009-07,0.177,
2009-10,0.189,
2010-01,0.189,
2010-04,0.193,
2010-07,0.223,
2010-10,0.221,
2011-01,0.227,
2011-04,0.222,
2011-07,0.219,
2011-10,0.211,
2012-01,0.223,
2012-04,0.203,
2012-07,0.206,
2012-10,0.213,
2013-01,0.199,
2013-04,0.189,
2013-07,0.202,
2013-10,0.211,
2014-01,0.213,
2014-04,0.214,
2014-07,0.227,
