"",BBK01.OEAH10O,BBK01.OEAH10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:51,
2002-01,3.361,
2002-04,3.465,
2002-07,3.576,
2002-10,4.013,
2003-01,3.909,
2003-04,3.868,
2003-07,3.835,
2003-10,3.822,
2004-01,3.908,
2004-04,4.008,
2004-07,4.174,
2004-10,4.216,
2005-01,4.197,
2005-04,4.160,
2005-07,4.100,
2005-10,4.043,
2006-01,4.019,
2006-04,3.980,
2006-07,3.948,
2006-10,3.952,
2007-01,3.883,
2007-04,3.810,
2007-07,3.711,
2007-10,3.605,
2008-01,3.510,
2008-04,3.425,
2008-07,3.464,
2008-10,2.960,
2009-01,3.579,
2009-04,3.729,
2009-07,4.025,
2009-10,4.382,
2010-01,4.744,
2010-04,4.841,
2010-07,4.889,
2010-10,4.942,
2011-01,5.105,
2011-04,5.340,
2011-07,5.446,
2011-10,5.423,
2012-01,5.341,
2012-04,5.340,
2012-07,5.253,
2012-10,5.207,
2013-01,5.172,
2013-04,5.137,
2013-07,4.995,
2013-10,4.894,
2014-01,4.779,
2014-04,4.663,
2014-07,4.495,
