"",BBK01.OELB10Q,BBK01.OELB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:58,
2002-01,0.602,
2002-04,0.584,
2002-07,0.569,
2002-10,0.540,
2003-01,0.536,
2003-04,0.506,
2003-07,0.494,
2003-10,0.443,
2004-01,0.443,
2004-04,0.475,
2004-07,0.469,
2004-10,0.417,
2005-01,0.451,
2005-04,0.450,
2005-07,0.454,
2005-10,0.418,
2006-01,0.446,
2006-04,0.421,
2006-07,0.389,
2006-10,0.363,
2007-01,0.385,
2007-04,0.385,
2007-07,0.385,
2007-10,0.395,
2008-01,0.431,
2008-04,0.415,
2008-07,0.401,
2008-10,0.388,
2009-01,0.409,
2009-04,0.427,
2009-07,0.407,
2009-10,0.398,
2010-01,0.433,
2010-04,0.441,
2010-07,0.408,
2010-10,0.400,
2011-01,0.414,
2011-04,0.427,
2011-07,0.425,
2011-10,0.392,
2012-01,0.417,
2012-04,0.417,
2012-07,0.424,
2012-10,0.435,
2013-01,0.463,
2013-04,0.470,
2013-07,0.438,
2013-10,0.441,
2014-01,0.479,
2014-04,0.466,
2014-07,0.467,
