"",BBK01.RU2711,BBK01.RU2711_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / France / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:09:38,
1968-12,0.768,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,1.070,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,1.218,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,1.366,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.901,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.923,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,1.170,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,1.750,
1976-01,1.730,
1976-02,1.759,
1976-03,2.287,
1976-04,2.358,
1976-05,2.302,
1976-06,2.293,
1976-07,1.871,
1976-08,1.821,
1976-09,2.021,
1976-10,1.958,
1976-11,1.864,
1976-12,2.392,
1977-01,2.161,
1977-02,2.049,
1977-03,1.777,
1977-04,1.801,
1977-05,1.829,
1977-06,1.685,
1977-07,1.762,
1977-08,1.762,
1977-09,1.767,
1977-10,1.826,
1977-11,1.948,
1977-12,2.335,
1978-01,2.131,
1978-02,2.094,
1978-03,2.120,
1978-04,2.157,
1978-05,2.156,
1978-06,2.204,
1978-07,2.131,
1978-08,2.171,
1978-09,2.244,
1978-10,2.350,
1978-11,2.261,
1978-12,2.691,
1979-01,2.749,
1979-02,2.732,
1979-03,2.766,
1979-04,2.625,
1979-05,2.615,
1979-06,2.712,
1979-07,2.865,
1979-08,2.822,
1979-09,2.752,
1979-10,3.459,
1979-11,2.946,
1979-12,3.575,
1980-01,3.323,
1980-02,3.352,
1980-03,3.352,
1980-04,3.657,
1980-05,3.614,
1980-06,3.678,
1980-07,3.539,
1980-08,3.807,
1980-09,3.582,
1980-10,3.669,
1980-11,3.501,
1980-12,3.789,
1981-01,3.678,
1981-02,3.853,
1981-03,4.454,
1981-04,4.233,
1981-05,4.529,
1981-06,4.379,
1981-07,4.206,
1981-08,4.209,
1981-09,4.124,
1981-10,4.107,
1981-11,3.946,
1981-12,3.926,
1982-01,4.196,
1982-02,4.003,
1982-03,4.183,
1982-04,3.852,
1982-05,3.836,
1982-06,3.866,
1982-07,3.675,
1982-08,3.802,
1982-09,3.784,
1982-10,4.174,
1982-11,3.975,
1982-12,4.342,
1983-01,4.157,
1983-02,4.041,
1983-03,3.995,
1983-04,4.141,
1983-05,4.096,
1983-06,4.401,
1983-07,4.154,
1983-08,3.902,
1983-09,3.742,
1983-10,3.785,
1983-11,3.981,
1983-12,4.334,
1984-01,4.197,
1984-02,4.251,
1984-03,3.891,
1984-04,4.124,
1984-05,3.887,
1984-06,3.689,
1984-07,3.678,
1984-08,3.514,
1984-09,3.516,
1984-10,3.510,
1984-11,3.628,
1984-12,4.389,
1985-01,3.701,
1985-02,3.970,
1985-03,3.542,
1985-04,3.670,
1985-05,3.412,
1985-06,3.331,
1985-07,3.138,
1985-08,3.073,
1985-09,3.297,
1985-10,3.130,
1985-11,3.045,
1985-12,3.548,
1986-01,3.662,
1986-02,3.711,
1986-03,3.644,
1986-04,3.734,
1986-05,3.551,
1986-06,3.373,
1986-07,3.166,
1986-08,3.029,
1986-09,2.961,
1986-10,3.294,
1986-11,3.585,
1986-12,3.391,
1987-01,3.688,
1987-02,3.624,
1987-03,3.073,
1987-04,3.490,
1987-05,3.388,
1987-06,3.476,
1987-07,3.606,
1987-08,4.062,
1987-09,3.685,
1987-10,3.987,
1987-11,3.925,
1987-12,3.700,
1988-01,4.080,
1988-02,4.087,
1988-03,4.075,
1988-04,3.978,
1988-05,4.010,
1988-06,4.269,
1988-07,5.280,
1988-08,5.402,
1988-09,5.167,
1988-10,5.158,
1988-11,4.838,
1988-12,5.377,
1989-01,5.725,
1989-02,5.811,
1989-03,5.530,
1989-04,5.512,
1989-05,5.879,
1989-06,5.603,
1989-07,5.769,
1989-08,5.172,
1989-09,4.887,
1989-10,4.759,
1989-11,5.296,
1989-12,4.786,
1990-01,5.133,
1990-02,4.544,
1990-03,5.096,
1990-04,5.878,
1990-05,4.818,
1990-06,6.674,
1990-07,6.708,
1990-08,7.107,
1990-09,7.309,
1990-10,7.686,
1990-11,7.905,
1990-12,7.800,
1991-01,7.866,
1991-02,8.017,
1991-03,8.634,
1991-04,8.896,
1991-05,8.593,
1991-06,8.829,
1991-07,8.520,
1991-08,9.523,
1991-09,8.434,
1991-10,9.121,
1991-11,8.964,
1991-12,9.376,
1992-01,8.659,
1992-02,8.590,
1992-03,8.433,
1992-04,9.057,
1992-05,8.820,
1992-06,9.990,
1992-07,8.067,
1992-08,9.204,
1992-09,10.476,
1992-10,9.810,
1992-11,10.288,
1992-12,9.572,
1993-01,8.837,
1993-02,9.700,
1993-03,10.766,
1993-04,9.555,
1993-05,9.634,
1993-06,10.309,
1993-07,11.327,
1993-08,11.564,
1993-09,10.939,
1993-10,11.374,
1993-11,12.119,
1993-12,11.292,
1994-01,11.619,
1994-02,11.709,
1994-03,10.808,
1994-04,11.573,
1994-05,11.598,
1994-06,12.085,
1994-07,11.783,
1994-08,12.192,
1994-09,12.490,
1994-10,12.182,
1994-11,12.433,
1994-12,12.640,
1995-01,12.247,
1995-02,11.986,
1995-03,13.294,
1995-04,13.243,
1995-05,13.152,
1995-06,12.555,
1995-07,11.862,
1995-08,12.864,
1995-09,13.381,
